smiles,vina_kcal_mol,predicted_safety,qed,synth_solvable_prob,applicability_domain,cand_score,confidence_tier
CCOC(=O)C1CCCN(c2c(NCCCN(C)Cc3ccccc3)c(=O)c2=O)C1,-6.23,0.4295,0.3625,0.9639,in-domain,2.5791891615000004,reliable-ADMET (docking pose-plausible hypothesis)
O=C(C[n+]1ccccc1)NNc1ccccc1,-5.58,0.4918,0.6081,0.9241,low (out-of-domain),2.5359558804000004,LOW (out-of-domain)
CN(C)/C=C/C(=O)c1cc(F)cc(C(F)(F)F)c1,-5.9,0.4696,0.4731,0.9139,in-domain,2.532087896,reliable-ADMET (docking pose-plausible hypothesis)
COCCCn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nnc1-c1ccoc1C,-6.39,0.4535,0.4234,0.8646,in-domain,2.505494079,reliable-ADMET (docking pose-plausible hypothesis)
FC(F)(F)c1ccc(-c2ccc3nncn3n2)cc1,-6.54,0.3931,0.6784,0.9721,in-domain,2.4991466154,reliable-ADMET (docking pose-plausible hypothesis)
NCCCCCCS[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-5.95,0.803,0.1455,0.4912,in-domain,2.3468799200000006,reliable-ADMET (docking pose-plausible hypothesis)
N[C@H](C(=O)O)[C@H](OCc1ccsc1)C(=O)O,-4.99,0.5859,0.6567,0.8006,in-domain,2.3406669846,reliable-ADMET (docking pose-plausible hypothesis)
CC(C)=NOC(=O)Nc1cccc2c1OCO2,-5.85,0.4399,0.4859,0.9031,in-domain,2.3240510865,reliable-ADMET (docking pose-plausible hypothesis)
CCC1(CC)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,-6.88,0.5995,0.7921,0.563,in-domain,2.3221272799999997,reliable-ADMET (docking pose-plausible hypothesis)
O=C(NCC1(F)CCNCC1)c1c(F)cccc1-c1cccc(Cl)c1,-6.13,0.4064,0.8616,0.9195,in-domain,2.2906878239999995,reliable-ADMET (docking pose-plausible hypothesis)
