chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,ppb_percent,fu,clearance_mL_min_kg,clearance_class,vd_L_kg,half_life_h,half_life_class,bioavailability_percent,bioavailability_class,est_dose_mg,dosing_frequency,pk_score
CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.935,0.0,0.391,3.27,97.8,,database,100.0,79.9,97.8,100.0,70,74.8,91.8,15,84.7,0.1528,71.0,high,1.62,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.238,0.0,0.365,3.25,97.3,,database,100.0,80.0,97.3,100.0,70,75.0,91.7,16,90.0,0.1005,95.2,high,2.65,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.96,0.0,0.379,3.1,97.6,,database,99.6,79.9,97.6,99.6,70,76.7,91.6,17,86.8,0.1324,77.0,high,1.9,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3927821,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.301,0.0,0.297,2.96,95.9,,database,100.0,80.0,95.9,100.0,70,78.2,91.6,18,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,resistant,scout1,1.0,0.0,0.324,2.54,96.5,,database,99.0,79.9,96.5,99.0,70,82.9,91.5,19,84.6,0.1542,100.0,high,2.5,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,0.765,0.0,0.283,3.02,95.7,,database,100.0,79.9,95.7,100.0,70,77.6,91.5,20,86.5,0.1349,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.152,0.0,0.359,3.55,97.2,,database,100.0,80.0,97.2,100.0,70,71.7,91.5,21,88.6,0.1139,89.3,high,2.31,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.03,0.0,0.415,2.83,98.3,,database,98.6,79.9,98.3,98.6,70,79.7,91.5,22,81.9,0.1806,73.5,high,1.25,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL4112870,CO[C@@H]1CC[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.315,0.0,0.359,3.55,97.2,,database,100.0,80.0,97.2,100.0,70,71.7,91.5,23,88.6,0.1139,89.3,high,2.31,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.05,0.0,0.428,2.8,98.6,,database,98.3,79.9,98.6,98.3,70,80.0,91.4,24,75.7,0.2433,49.9,high,0.78,0.5,short,10.0,low,2.0,TID (three times daily),40
CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.365,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,25,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.552,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,26,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.0,0.0,0.376,3.39,97.5,,database,99.0,79.9,97.5,99.0,70,73.4,91.2,27,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,escape_route,scout1,1.3,0.0,0.399,2.53,100.0,,database,95.2,99.9,100.0,66.7,70,83.0,91.2,28,92.9,0.0715,100.0,high,5.38,0.6,short,10.0,low,4.0,TID (three times daily),40
CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,escape_route,scout1,1.1,0.0,0.556,2.78,96.1,,database,97.6,99.9,96.1,68.3,70,80.2,91.2,29,53.1,0.4691,19.3,moderate,0.18,0.5,short,8.0,low,1.0,TID (three times daily),50
CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,escape_route,scout1,1.3,0.0,0.437,2.88,100.0,,database,95.2,99.9,100.0,66.7,70,79.1,91.0,30,91.8,0.0818,100.0,high,8.37,1.0,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.05,0.0,0.358,2.99,97.2,,database,98.3,79.9,97.2,98.3,70,77.9,91.0,31,86.5,0.1349,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.12,0.0,0.365,2.79,97.3,,database,97.4,79.9,97.3,97.4,70,80.1,90.8,32,90.0,0.1005,95.2,high,2.65,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,escape_route,scout1,1.4,0.0,0.574,2.67,100.0,,database,94.2,99.9,100.0,65.9,70,81.4,90.7,33,46.0,0.5401,15.4,moderate,0.32,0.5,short,22.9,moderate,0.0,TID (three times daily),65
CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.14,0.0,0.376,3.39,97.5,,database,97.1,79.9,97.5,97.1,70,73.4,90.4,34,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL131891,NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,PARP1,resistant,scout1,3.0,0.0,0.752,1.94,100.0,,database,83.3,99.7,100.0,83.3,70,89.6,90.4,35,70.1,0.2989,69.9,high,0.94,0.5,short,10.0,low,2.0,TID (three times daily),40
