id,name
EFO_1001397,Piscirickettsiaceae Infections
EFO_1001399,"Pneumonia, Aspiration"
EFO_1001401,Pneumovirus Infections
EFO_1001406,Prosthesis-Related Infections
EFO_1001407,Puerperal Infection
EFO_1001413,Respiratory Syncytial Virus Infection
EFO_1001418,Salmonella Infections
EFO_1001421,Serratia Infections
EFO_1001438,Trematode Infections
EFO_1001440,"Tuberculosis, Avian"
EFO_1001441,"Tuberculosis, Bovine"
EFO_1001442,cardiac tuberculosis
EFO_1001443,"Tuberculosis, Cutaneous"
EFO_1001456,central nervous system infection
EFO_1001474,pneumococcal pneumonia
EFO_1001476,streptococcal infection
EFO_1001489,skin and soft tissue Staphylococcus aureus infection
EFO_1001498,disseminated atypical mycobacterial infection
EFO_1001764,Birnaviridae Infections
EFO_1001849,staphylococcal skin infections
EFO_1001865,ventilator-associated pneumonia
EFO_1001888,eye infection
EFO_1001925,pneumococcal bacteremia
EFO_1001954,Epstein-Barr virus-related Burkitts lymphoma
EFO_1002022,Herpes simplex infection
Orphanet_1229,Congenital intrauterine infection-like syndrome
Orphanet_169142,Recurrent infection due to specific granule deficiency
Orphanet_183710,Genetic susceptibility to infections due to particular pathogens
Orphanet_251523,Recurrent infections - inflammatory syndrome due to zinc metabolism disorder
Orphanet_275517,Autoimmune lymphoproliferative syndrome with recurrent viral infections
Orphanet_319535,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a complete deficiency
Orphanet_319539,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a partial deficiency
Orphanet_319543,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to a partial deficiency
Orphanet_319547,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency
Orphanet_369852,Recurrent infections-myelofibrosis-nephromegaly syndrome
Orphanet_391311,Susceptibility to viral and mycobacterial infections
Orphanet_391487,Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome
Orphanet_748,Mendelian susceptibility to mycobacterial diseases
