chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw_scout,logp_scout,lipinski_violations_scout,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r,mw_admet,logp_admet,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,qed,sa_score,lipinski_violations_admet,veber_pass,pains_pass,pains_alerts,bbb_penetrant,gi_absorption,hepatotox_risk,admet_score,overall_pass
CHEMBL3890490,CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,IC50,0.329,461.57,3.63,0,False,False,1,ATM,resistant,0.002241,0.011207,461.6,3.63,0,6,74.4,7,4,0.391,3.27,0,True,True,0,False,high,medium,97.8,True
CHEMBL3935033,CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,IC50,0.365,479.56,3.77,0,False,False,1,ATM,resistant,0.002219,0.011094,479.6,3.77,0,6,74.4,7,4,0.297,3.42,0,True,True,0,False,high,medium,95.9,True
CHEMBL115090,CHEMBL115090,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.37,582.66,3.57,1,False,False,1,CD274,immune,0.00554,0.00554,582.7,3.57,4,6,146.6,14,4,0.166,3.38,1,False,True,0,False,medium,medium,68.3,True
CHEMBL551440,CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,IC50,0.38,527.63,3.31,1,False,False,1,MTOR,escape_route,0.00442,0.00663,527.6,3.31,2,8,113.3,6,4,0.393,2.72,1,True,True,0,False,high,medium,87.9,True
CHEMBL551440,CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,IC50,0.38,527.63,3.31,1,False,False,1,MTOR,escape_route,0.00442,0.00663,527.6,3.31,2,8,113.3,6,4,0.393,2.72,1,True,True,0,False,high,medium,87.9,True
CHEMBL112207,CHEMBL112207,CC(C)[C@H](CC(=O)NCCc1cn(C)c2ccccc12)C(=O)NC(CC(=O)O)C(=O)CNS(=O)(=O)CC12CCC(CC1=O)C2(C)C,CD274,IC50,0.4,658.82,2.34,1,False,False,1,CD274,immune,0.005497,0.005497,658.8,2.34,4,7,180.7,16,2,0.212,5.0,1,False,True,0,False,medium,low,74.2,True
CHEMBL3895211,CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,IC50,0.418,505.59,4.3,1,False,False,1,ATM,resistant,0.002189,0.010947,505.6,4.3,0,6,74.4,8,4,0.333,2.97,1,True,True,0,False,high,medium,86.7,True
CHEMBL3898165,CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,0.447,473.58,3.51,0,False,False,1,ATM,resistant,0.002175,0.010874,473.6,3.51,1,6,85.4,7,4,0.414,2.8,0,True,True,0,False,high,medium,98.3,True
CHEMBL562999,CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,IC50,0.45,520.59,3.02,1,False,False,1,MTOR,escape_route,0.004347,0.00652,520.6,3.02,2,8,126.7,5,3,0.526,2.72,1,True,True,0,False,high,medium,90.5,True
CHEMBL563985,CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,IC50,0.46,494.56,2.48,0,False,False,1,MTOR,escape_route,0.004337,0.006506,494.6,2.48,2,8,126.7,4,3,0.567,2.7,0,True,True,0,False,high,low,100.0,True
