chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank
CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.05,0.0,0.428,2.8,98.6,,database,98.3,79.9,98.6,98.3,70,80.0,91.4,24
CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.365,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,25
CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.552,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,26
CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.0,0.0,0.376,3.39,97.5,,database,99.0,79.9,97.5,99.0,70,73.4,91.2,27
CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,escape_route,scout1,1.3,0.0,0.399,2.53,100.0,,database,95.2,99.9,100.0,66.7,70,83.0,91.2,28
CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,escape_route,scout1,1.1,0.0,0.556,2.78,96.1,,database,97.6,99.9,96.1,68.3,70,80.2,91.2,29
CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,escape_route,scout1,1.3,0.0,0.437,2.88,100.0,,database,95.2,99.9,100.0,66.7,70,79.1,91.0,30
CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.05,0.0,0.358,2.99,97.2,,database,98.3,79.9,97.2,98.3,70,77.9,91.0,31
CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.12,0.0,0.365,2.79,97.3,,database,97.4,79.9,97.3,97.4,70,80.1,90.8,32
CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,escape_route,scout1,1.4,0.0,0.574,2.67,100.0,,database,94.2,99.9,100.0,65.9,70,81.4,90.7,33
CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.14,0.0,0.376,3.39,97.5,,database,97.1,79.9,97.5,97.1,70,73.4,90.4,34
CHEMBL131891,NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,PARP1,resistant,scout1,3.0,0.0,0.752,1.94,100.0,,database,83.3,99.7,100.0,83.3,70,89.6,90.4,35
CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,scout1,2.4,0.0,0.458,3.19,94.2,,database,86.5,99.8,94.2,86.5,70,75.7,90.0,36
CHEMBL5218552,COC(=O)[C@@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,2.2,0.0,0.334,3.64,91.7,,database,87.7,99.8,91.7,87.7,70,70.7,89.8,37
CHEMBL195373,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOC2)cn1,CHEK1,resistant,scout1,3.0,0.0,0.868,3.04,100.0,,database,83.3,99.7,100.0,83.3,70,77.3,89.8,38
CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.418,0.0,0.333,2.97,86.7,,database,100.0,80.0,86.7,100.0,70,78.1,89.7,39
CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,0.15,0.0,0.268,2.69,85.4,,database,100.0,80.0,85.4,100.0,70,81.2,89.6,40
CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.563,0.0,0.349,3.37,87.0,,database,100.0,80.0,87.0,100.0,70,73.7,89.6,41
CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.69,0.0,0.349,3.37,87.0,,database,100.0,79.9,87.0,100.0,70,73.7,89.6,42
CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,1.0,0.0,0.285,2.61,85.7,,database,99.0,79.9,85.7,99.0,70,82.1,89.3,43
CHEMBL5219579,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@@H](CO)C2)n1,EZH2,resistant,scout1,3.3,0.0,0.437,3.57,100.0,,database,81.9,99.7,100.0,81.9,70,71.4,88.8,44
