smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CCN1CCCC1.CNc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,bioisostere,0.458,4.5,488.6,0.27,-12.45,0.428,0.326,0.642,10
CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=S)n4C)cn1,ATM,bioisostere,0.325,4.1,463.6,0.27,-12.47,0.512,0.394,0.769,10
CNCCC[CH]n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c21,ATM,bioisostere,0.324,4.5,487.6,0.27,-12.46,0.359,0.296,0.539,10
CO[C@H]1C[C@@H](n2c(=O)n(N(C)C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,r_group,0.313,4.8,516.6,0.27,-12.46,0.491,0.407,0.736,10
CCN(C)C.CNc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CC[C@H](OC)C2)c(=O)n4C)cn1,ATM,bioisostere,0.463,4.4,476.6,0.27,-12.47,0.439,0.351,0.658,10
CS[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,bioisostere,0.332,4.4,491.7,0.27,-12.46,0.439,0.383,0.659,10
CN[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,bioisostere,0.383,4.5,486.6,0.27,-12.47,0.393,0.324,0.589,10
CCN1CCCC1.CNc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](OC)C2)c(=O)n4C)cn1,ATM,bioisostere,0.447,4.5,488.6,0.27,-12.46,0.505,0.36,0.758,10
CS[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,bioisostere,0.319,4.5,503.7,0.27,-12.47,0.459,0.395,0.689,10
CCn1c(=O)n([C@H]2CC[C@H](OC)C2)c2c3cc(-c4ccc(OCCCN(C)C)nc4)ccc3ncc21,ATM,r_group,0.322,4.5,489.6,0.28,-12.45,0.49,0.414,0.736,10
Cn1c(=O)n([C@H]2CCCSC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,bioisostere,0.335,4.5,503.7,0.28,-12.45,0.508,0.384,0.761,10
Cn1c(=O)n([C@H]2C[C@@H](OC3CC3)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.302,4.8,513.6,0.28,-12.45,0.462,0.396,0.693,10
CC[C@@H](C)n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN(C)C)nc4)cc3c21.CNC,ATM,bioisostere,0.385,4.4,478.6,0.28,-12.45,0.437,0.372,0.656,10
CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@H](S)C2)c(=O)n4C)cn1,ATM,bioisostere,0.333,4.1,463.6,0.28,-12.44,0.555,0.453,0.833,10
CN[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,bioisostere,0.407,4.2,460.6,0.28,-12.45,0.663,0.464,0.994,10
CCN(C)C.CNc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,bioisostere,0.498,4.1,448.6,0.28,-12.45,0.474,0.358,0.711,10
CN(C)CCCSc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,bioisostere,0.333,4.1,463.6,0.28,-12.44,0.445,0.336,0.668,10
