chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,herg_alerts,herg_risk,brenk_alerts,mutagenicity_risk,cyp_2d6_risk,cyp_3a4_risk,reactive_alerts,tox_score,offtarget_flags,n_offtarget_flags,selectivity_score,score_tox,score_selectivity_new,score_rebalanced,rank_new
CHEMBL3927821,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.301,0.0,0.297,2.96,95.9,,database,100.0,80.0,95.9,100.0,70,78.2,91.6,18,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.2,19
CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,0.765,0.0,0.283,3.02,95.7,,database,100.0,79.9,95.7,100.0,70,77.6,91.5,20,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.2,20
CHEMBL4112870,CO[C@@H]1CC[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.315,0.0,0.359,3.55,97.2,,database,100.0,80.0,97.2,100.0,70,71.7,91.5,23,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.1,21
CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.152,0.0,0.359,3.55,97.2,,database,100.0,80.0,97.2,100.0,70,71.7,91.5,21,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.1,22
CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.03,0.0,0.415,2.83,98.3,,database,98.6,79.9,98.3,98.6,70,79.7,91.5,22,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.0,23
CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.365,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,25,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.0,24
CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.552,0.0,0.297,3.42,95.9,,database,100.0,80.0,95.9,100.0,70,73.1,91.3,26,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.0,25
CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.05,0.0,0.428,2.8,98.6,,database,98.3,79.9,98.6,98.3,70,80.0,91.4,24,0,medium,0,low,high,low,0,75,[],0,100,75,100,89.9,26
CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.0,0.0,0.376,3.39,97.5,,database,99.0,79.9,97.5,99.0,70,73.4,91.2,27,1,medium,0,low,high,low,0,75,[],0,100,75,100,89.8,27
CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.05,0.0,0.358,2.99,97.2,,database,98.3,79.9,97.2,98.3,70,77.9,91.0,31,1,medium,0,low,high,low,0,75,[],0,100,75,100,89.7,28
CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,escape_route,scout1,1.1,0.0,0.556,2.78,96.1,,database,97.6,99.9,96.1,68.3,70,80.2,91.2,29,1,medium,0,low,low,low,0,85,[],0,100,85,100,89.5,29
