gene,patient
RABGGTA,1.2
KCNA1,1.2
ADAMTS13,1.2
RABGAP1,1.2
RABEP2,1.2
RAD54L2,1.2
PGAP6,1.2
FGFR3,1.2
KBTBD11,1.2
TJP1,1.2
F5,1.2
TBX5,1.2
SEC16A,1.2
PSD,1.2
CTNND2,1.2
KCNG2,1.2
TLR6,1.2
PLCB4,1.2
KCNQ3,1.2
OSBPL7,1.2
GRIN3A,1.2
OSBPL8,1.2
CLDN5,1.2
CHRD,1.2
KCNK10,1.2
CD74,1.2
ZNF92,1.2
PTGFRN,1.2
ZNF91,1.2
SLC15A1,1.2
OSTM1,1.2
EYA2,1.2
OTOGL,1.2
GRM2,1.2
CDAN1,1.2
CRB1,1.2
TRAF5,1.2
RASA1,1.2
FPR2,1.2
CHST11,1.2
SLC49A3,1.2
ARSG,1.2
CCND2,1.2
GPSM1,1.2
SLC16A11,1.2
ERBB2,1.2
PLEKHG7,1.2
KLHL6,1.2
KLHL4,1.2
HELQ,1.2
PHLDB1,1.2
SLC44A4,1.2
ERC2,1.2
ACTL9,1.2
SCUBE2,1.2
USP32,1.2
KLHL11,1.2
KLHDC8A,1.2
TP63,1.2
ZBTB20,1.2
ACTN1,1.2
TAOK1,1.2
CCDC93,1.2
RBM25,1.2
CYFIP2,1.2
SLC4A8,1.2
TANC1,1.2
CCIN,1.2
KRT33A,1.2
CYFIP1,1.2
PHLPP1,1.2
KNDC1,1.2
GPRIN1,1.2
FRMPD4,1.2
KRABD3,1.2
PHLDB2,1.2
RBM20,1.2
ANO4,1.2
SCRIB,1.2
USP24,1.2
SLC3A1,1.2
CXCR1,1.2
PHF21B,1.2
HGF,1.2
KIF16B,1.2
KIF13B,1.2
KIF13A,1.2
CD1D,1.2
GRID2,1.2
AEBP1,1.2
KIDINS220,1.2
PHIP,1.2
FKBP15,1.2
KIF18B,1.2
KIAA1210,1.2
ESRP1,1.2
RAPGEF4,1.2
SEPTIN12,1.2
TLE6,1.2
KIAA0319L,1.2
HID1,1.2
KIAA0232,1.2
SLC38A10,1.2
OR5L2,1.2
ACTN2,1.2
KIF7,1.2
ANO8,1.2
SCUBE3,1.2
OR5AS1,1.2
RASIP1,1.2
USP36,1.2
TSHZ1,1.2
KIFC3,1.2
HECW2,1.2
ERMN,1.2
KIF20A,1.2
RASGRP3,1.2
ZNF518B,1.2
GRIA2,1.2
CCT8L2,1.2
ESF1,1.2
KIF21A,1.2
FLCN,1.2
OR5L1,1.2
SEC16B,1.2
JPH4,1.2
P4HA1,1.2
ZNF609,1.2
PCDHAC1,1.2
SEMA5B,1.2
CEP162,1.2
FARP1,1.2
TRHDE,1.2
ZNF835,1.2
CEP192,1.2
PCDHB11,1.2
PCDHB13,1.2
TGM7,1.2
TEKT5,1.2
TMC1,1.2
IL2RB,1.2
ADGB,1.2
TPRX1,1.2
ADGRA3,1.2
PIK3C2A,1.2
HYDIN,1.2
INO80,1.2
SLC12A4,1.2
IPO8,1.2
FAM83F,1.2
PDCL2,1.2
SLC12A5,1.2
PZP,1.2
ARAP3,1.2
PJA1,1.2
TEAD2,1.2
INTS7,1.2
PCSK4,1.2
THADA,1.2
HSPA12B,1.2
HSPA12A,1.2
CSF3R,1.2
PCDHA12,1.2
PIK3CD,1.2
CEP104,1.2
CFTR,1.2
PCDHA7,1.2
TRIM42,1.2
IBTK,1.2
ICAM4,1.2
PCDHB5,1.2
CFAP251,1.2
TMEM108,1.2
TEX2,1.2
ADGRG6,1.2
ADGRL1,1.2
SETD2,1.2
PCGF2,1.2
PCIF1,1.2
FBXL18,1.2
FNBP1,1.2
IL1RL1,1.2
WHRN,1.2
CRX,1.2
PTPRG,1.2
IFIH1,1.2
ZNF606,1.2
TFIP11,1.2
CFAP43,1.2
CFAP44,1.2
TMEM129,1.2
CIT,1.2
IGSF3,1.2
IGSF8,1.2
IL17RD,1.2
APCDD1,1.2
VILL,1.2
WNT16,1.2
IL16,1.2
FBLL1,1.2
APCS,1.2
SEMA4G,1.2
IL11,1.2
FBLN7,1.2
PTPRU,1.2
ADGRF4,1.2
PCDHGA6,1.2
PTPRN,1.2
WNK2,1.2
IGSF9,1.2
WNK1,1.2
ARFGEF3,1.2
TDRD9,1.2
PLA2R1,1.2
PER3,1.2
CTBP2,1.2
SLC28A1,1.2
PAK4,1.2
CHID1,1.2
CDHR2,1.2
SLC27A5,1.2
WDR90,1.2
SEC23IP,1.2
FAM135A,1.2
ANKAR,1.2
ADAMTS3,1.2
CPD,1.2
PALS1,1.2
SLC26A9,1.2
XKR4,1.2
VCP,1.2
ZNF568,1.2
PAPLN,1.2
TCERG1,1.2
SLC2A10,1.2
IQCE,1.2
CDH13,1.2
XPO1,1.2
CREBRF,1.2
CDCP1,1.2
KANSL1,1.2
KANK4,1.2
KANK1,1.2
TRPC6,1.2
TRANK1,1.2
SLC2A2,1.2
CDH24,1.2
JUP,1.2
TRPC4,1.2
SKIDA1,1.2
CHL1,1.2
HEATR1,1.2
CDH20,1.2
JPH1,1.2
GRM7,1.2
CHERP,1.2
FNIP2,1.2
HOXB3,1.2
QSER1,1.2
ITGA10,1.2
TCOF1,1.2
TMEM143,1.2
PTPN5,1.2
FAM20C,1.2
ISG20L2,1.2
CIITA,1.2
IRS1,1.2
PDE6B,1.2
PENK,1.2
HR,1.2
IQSEC2,1.2
IQSEC1,1.2
CEL,1.2
FAM47B,1.2
TRIM58,1.2
PDE3A,1.2
PCARE,1.2
HOXD13,1.2
TMEM151A,1.2
HDAC4,1.2
ITGA3,1.2
XDH,1.2
SEC31B,1.2
ITIH3,1.2
TPO,1.2
FGA,1.2
CLCA4,1.2
GTF3C3,1.2
PIAS1,1.2
FAM180B,1.2
FER1L6,1.2
ITGAV,1.2
ARHGAP20,1.2
PDS5A,1.2
R3HDM2,1.2
FAM187A,1.2
WWP2,1.2
SEL1L2,1.2
COL1A2,1.2
OR10P1,1.2
CLIP1,1.2
CACNG4,1.2
SAFB2,1.2
C2CD3,1.2
GBP7,1.2
SALL1,1.2
MERTK,1.2
DOK3,1.2
SGSM1,1.2
SSH2,1.2
DOP1A,1.2
SAMD11,1.2
MEGF10,1.2
C3ORF20,1.2
SSTR4,1.2
NLRP14,1.2
MED23,1.2
DOT1L,1.2
MED13L,1.2
NLRP2,1.2
NLRP3,1.2
DPP10,1.2
NLRX1,1.2
SNRNP200,1.2
MDGA1,1.2
GBF1,1.2
MFSD6,1.2
NKTR,1.2
POM121L12,1.2
NIBAN3,1.2
CNTN4,1.2
DNAJC2,1.2
ABCF3,1.2
ABCG5,1.2
MKRN3,1.2
SNX13,1.2
B4GALNT4,1.2
AKAP6,1.2
ABHD1,1.2
A1CF,1.2
DDX46,1.2
DNMT3B,1.2
B4GALNT3,1.2
DOCK10,1.2
CNTLN,1.2
MIB2,1.2
B4GALNT1,1.2
SNTG2,1.2
GABRB2,1.2
SNTG1,1.2
MGAT3,1.2
ZIC4,1.2
NMNAT2,1.2
PRDM14,1.2
RIF1,1.2
VPS8,1.2
TOGARAM1,1.2
GGT5,1.2
DSG4,1.2
MARF1,1.2
STAG1,1.2
MARCHF10,1.2
MAPKBP1,1.2
ATXN2L,1.2
ATXN2,1.2
POLQ,1.2
NOS1,1.2
MAPK8IP3,1.2
SBF1,1.2
CACNA1F,1.2
KRT85,1.2
ATP8B4,1.2
CACNA2D1,1.2
CACNA2D2,1.2
CACNA2D3,1.2
NPIPA5,1.2
SMURF2,1.2
NOS3,1.2
TYW1,1.2
ABL1,1.2
NOL4L,1.2
ZHX3,1.2
MCOLN1,1.2
GDPD5,1.2
ABL2,1.2
PRDM15,1.2
AXIN1,1.2
GFI1,1.2
MCCC2,1.2
DRC9,1.2
PRDM5,1.2
MCAM,1.2
CNOT3,1.2
MBTPS1,1.2
MBOAT2,1.2
PRDM8,1.2
GABRB1,1.2
DDI1,1.2
MATR3,1.2
SART3,1.2
MATN2,1.2
ZFX,1.2
RIN2,1.2
MMP24,1.2
GATAD2A,1.2
MN1,1.2
BDH1,1.2
SHANK3,1.2
RTP5,1.2
MYBL1,1.2
SP140,1.2
UGT1A6,1.2
BRD3,1.2
BRD4,1.2
MXRA8,1.2
BDKRB1,1.2
BRF1,1.2
DGKH,1.2
NAGPA,1.2
AAK1,1.2
COIL,1.2
MUC5AC,1.2
BRWD1,1.2
RRBP1,1.2
NCKAP5,1.2
PPARGC1B,1.2
GAL3ST3,1.2
GAPVD1,1.2
MUC12,1.2
BRAF,1.2
RSPH4A,1.2
COG1,1.2
ZNF274,1.2
ZNF250,1.2
MYO5A,1.2
BMAL1,1.2
BMPR1B,1.2
DHX36,1.2
UFL1,1.2
SPATA31G1,1.2
SH3RF3,1.2
MYH8,1.2
UGGT2,1.2
MYRF,1.2
RSPH6A,1.2
MYT1,1.2
ZNF28,1.2
COL17A1,1.2
DHRS4L2,1.2
N4BP3,1.2
ZNF226,1.2
SPATA18,1.2
PPP1R3A,1.2
NACAD,1.2
PPM1J,1.2
SOX11,1.2
DET1,1.2
ULK1,1.2
ABCC1,1.2
SPRED3,1.2
ABCB11,1.2
DENND2B,1.2
ABCB4,1.2
NEO1,1.2
RPGRIP1L,1.2
ZNF143,1.2
NEURL1,1.2
NEURL4,1.2
NFASC,1.2
RPAP1,1.2
SHOC1,1.2
RORB,1.2
PPP2R5D,1.2
NGEF,1.2
SQSTM1,1.2
S1PR3,1.2
ZNF107,1.2
ZNF106,1.2
NGLY1,1.2
BACH2,1.2
NHSL3,1.2
VPS35L,1.2
POU2F1,1.2
SOS1,1.2
ZNF326,1.2
SORCS3,1.2
RPTN,1.2
DMRT2,1.2
NEBL,1.2
POU4F2,1.2
TNKS1BP1,1.2
SPHK2,1.2
NECAB2,1.2
NEFH,1.2
NEK1,1.2
ALDH4A1,1.2
DENND4C,1.2
SPINK5,1.2
ZNF184,1.2
DMXL1,1.2
MSN,1.2
C10ORF71,1.2
MSLNL,1.2
ABCA3,1.2
RPRD1B,1.2
UBQLN3,1.2
MS4A14,1.2
POLG,1.2
TYRP1,1.2
NYAP2,1.2
LIG1,1.2
UROC1,1.2
CLSTN3,1.2
CC2D1A,1.2
LIMCH1,1.2
REN,1.2
GPATCH8,1.2
ELL,1.2
SLCO5A1,1.2
SLCO4C1,1.2
ZPLD1,1.2
OLFML3,1.2
LRBA,1.2
SLCO2A1,1.2
SWAP70,1.2
LHCGR,1.2
ELN,1.2
CCDC136,1.2
SYCP2,1.2
USH1C,1.2
LENG8,1.2
ZC3H4,1.2
ZC3H3,1.2
LINGO3,1.2
SULF1,1.2
EIF4G3,1.2
LMOD2,1.2
URB2,1.2
DAGLA,1.2
LPIN3,1.2
LPIN1,1.2
EHHADH,1.2
DACH2,1.2
ACAP1,1.2
SLIT2,1.2
OC90,1.2
CATSPERB,1.2
PMEPA1,1.2
DAB2IP,1.2
ZRANB3,1.2
LONP2,1.2
DAAM1,1.2
VPS13A,1.2
CLUH,1.2
CBARP,1.2
GP5,1.2
CBLB,1.2
SFMBT2,1.2
SYNC,1.2
PROB1,1.2
ZNF479,1.2
GPR179,1.2
PLOD3,1.2
SF3B2,1.2
VWA8,1.2
LAMB2,1.2
SF3B1,1.2
SLC6A17,1.2
EPHA1,1.2
EPHA10,1.2
ASB15,1.2
KYNU,1.2
EPHA3,1.2
RBM27,1.2
OR4A15,1.2
ZBTB41,1.2
TAF1C,1.2
ASAP3,1.2
EPHA6,1.2
TAF3,1.2
GPRC5C,1.2
CCDC88B,1.2
OR4C15,1.2
AMBRA1,1.2
GPR17,1.2
REDIC1,1.2
LARP1,1.2
GPR142,1.2
TTC21A,1.2
EMILIN1,1.2
FSHR,1.2
ZC3H13,1.2
SLC9A5,1.2
RECQL4,1.2
GPR155,1.2
TTC14,1.2
CCDC180,1.2
EMSY,1.2
ZC3H12B,1.2
SYNPO2,1.2
CYP2E1,1.2
CYP2D6,1.2
PROM1,1.2
ENAM,1.2
ENOX1,1.2
ENPP2,1.2
SYT3,1.2
VWA5A,1.2
STXBP5,1.2
CPT1A,1.2
LRCH4,1.2
CAND1,1.2
PRKAG3,1.2
LYST,1.2
STK32B,1.2
LYPD4,1.2
DCAF4L2,1.2
TULP4,1.2
FZD8,1.2
ECE2,1.2
SCAF8,1.2
PRICKLE3,1.2
ZEB1,1.2
LTBP2,1.2
NTRK3,1.2
GABBR1,1.2
DCAF12L1,1.2
RGS7,1.2
SIGLEC10,1.2
LRFN2,1.2
SMC5,1.2
SMARCAL1,1.2
RGSL1,1.2
NRG2,1.2
DCBLD2,1.2
NRROS,1.2
DZANK1,1.2
ZNF423,1.2
RGS9,1.2
MAMDC4,1.2
ZNF429,1.2
ALK,1.2
ATP4A,1.2
GJA8,1.2
ATP2B3,1.2
NSD2,1.2
MAML2,1.2
SMG8,1.2
POGZ,1.2
NSUN7,1.2
ECPAS,1.2
LSR,1.2
DCLK1,1.2
SCARF1,1.2
DBX2,1.2
TTLL9,1.2
GIGYF2,1.2
TMEM87A,1.2
MAP3K20,1.2
CASK,1.2
NWD1,1.2
NPY4R,1.2
COPA,1.2
MAP3K21,1.2
TXNDC2,1.2
CACTIN,1.2
RFTN1,1.2
MAP3K4,1.2
ATG2A,1.2
TMEM63C,1.2
ATG9A,1.2
SIK2,1.2
MAGI3,1.2
RGS20,1.2
DCLK3,1.2
ATOSB,1.2
CADPS2,1.2
ZFP37,1.2
NR3C2,1.2
SCAPER,1.2
TUBA3C,1.2
SMPD4,1.2
ATP11A,1.2
FYB1,1.2
NUP153,1.2
EFHB,1.2
LRP6,1.2
LRRC7,1.2
PRG4,0.9
FLRT3,0.9
PRICKLE1,0.9
FSCB,0.9
PSKH2,0.9
TOGARAM2,0.9
SH3BP4,0.9
FOSB,0.9
SF3A1,0.9
PRR14L,0.9
PRPF39,0.9
FNDC7,0.9
PPP2R5C,0.9
PPP2R3B,0.9
FMNL1,0.9
FMNL2,0.9
FTSJ3,0.9
PRPSAP1,0.9
FXR1,0.9
PRKCSH,0.9
FUT7,0.9
TOP6BL,0.9
SH2D5,0.9
TPCN1,0.9
FNBP4,0.9
TOPBP1,0.9
TPH2,0.9
GABRR2,0.9
FOXD2,0.9
FOXD4,0.9
FYCO1,0.9
FZD1,0.9
PSD2,0.9
PRDM10,0.9
PROKR1,0.9
TNS4,0.9
FLYWCH1,0.9
FNDC3A,0.9
FREM1,0.9
GAK,0.9
PRKAG2,0.9
SEZ6L,0.9
SH3BP2,0.9
TOB1,0.9
FSTL4,0.9
SFT2D2,0.9
TP73,0.9
PRSS1,0.9
PRKCG,0.9
SEZ6,0.9
MYO1B,0.9
PSMD1,0.9
SCML4,0.9
RGL3,0.9
EEF1D,0.9
TUBGCP3,0.9
TUBGCP5,0.9
ECEL1,0.9
TULP2,0.9
EBF1,0.9
TUT7,0.9
RGS4,0.9
E2F7,0.9
TWNK,0.9
DYNC2I1,0.9
SCAF4,0.9
SCAF11,0.9
RHBDF1,0.9
DYM,0.9
TXNDC11,0.9
RHBDL3,0.9
DUSP22,0.9
DUS3L,0.9
RHPN1,0.9
RIMS1,0.9
RIMS3,0.9
DSG2,0.9
DSE,0.9
RFX4,0.9
EFCAB6,0.9
TUB,0.9
RET,0.9
SCLY,0.9
REEP1,0.9
ELOA2,0.9
SCLT1,0.9
ELMO2,0.9
ELFN1,0.9
ELF2,0.9
ELAPOR1,0.9
RESF1,0.9
TTC6,0.9
TTC7A,0.9
EIF3D,0.9
EFHC2,0.9
REV1,0.9
TTLL10,0.9
TTLL12,0.9
REV3L,0.9
SCARF2,0.9
EHD3,0.9
RFX1,0.9
EGFR,0.9
TTLL8,0.9
EFR3A,0.9
RFX2,0.9
RIN1,0.9
RIOK3,0.9
DRD5,0.9
RUFY1,0.9
DMRTB1,0.9
DMRTA2,0.9
RUNX1,0.9
DMPK,0.9
RPS6KB2,0.9
RPTOR,0.9
DLL4,0.9
DLK2,0.9
DLGAP4,0.9
RRAD,0.9
RREB1,0.9
RUBCNL,0.9
RPL3L,0.9
DLD,0.9
RRP1B,0.9
DIPK1C,0.9
DIP2C,0.9
DIO3,0.9
RTN4R,0.9
DICER1,0.9
DIAPH1,0.9
DHX9,0.9
DHX8,0.9
RTL9,0.9
UBR1,0.9
DNAAF5,0.9
U2SURP,0.9
RNF19A,0.9
DRD1,0.9
RIPOR1,0.9
DPYD,0.9
SAR1A,0.9
UBAP2L,0.9
SAMD4B,0.9
RNF139,0.9
SAMD12,0.9
DOLK,0.9
RNF157,0.9
SALL4,0.9
SAFB,0.9
DNAAF8,0.9
RNF26,0.9
RNF40,0.9
DOCK11,0.9
DNMT3A,0.9
DNM3,0.9
S1PR5,0.9
UBE4B,0.9
UBN1,0.9
S1PR4,0.9
DNAJA3,0.9
RORA,0.9
EMILIN3,0.9
RCVRN,0.9
TPTE,0.9
TTC13,0.9
TRIM17,0.9
FBXO28,0.9
PTPRH,0.9
FBXL13,0.9
FBRS,0.9
PTPRM,0.9
PTPRO,0.9
SEMA3E,0.9
PWP1,0.9
FANCA,0.9
PWWP2A,0.9
SEMA3A,0.9
PYGL,0.9
PYGM,0.9
FAM83D,0.9
TRIM60,0.9
TRIM62,0.9
QTMAN,0.9
TRIM71,0.9
SEL1L3,0.9
TRIML1,0.9
FAM178B,0.9
RAB11FIP2,0.9
FAM171B,0.9
TRMT1,0.9
FBXO5,0.9
TRIM15,0.9
FBXW2,0.9
PTH1R,0.9
FLI1,0.9
PSME4,0.9
SEPTIN8,0.9
PTGER1,0.9
TRAF3IP3,0.9
FHOD3,0.9
FHIP1B,0.9
FHAD1,0.9
TRAIP,0.9
TRAK2,0.9
PTGS2,0.9
FGF12,0.9
FBXW7,0.9
PTK2,0.9
TRARG1,0.9
PTPN13,0.9
FEM1C,0.9
SEMA6B,0.9
TREH,0.9
FCSK,0.9
PTPN7,0.9
FCRL1,0.9
FCHO1,0.9
PTPRE,0.9
FAM13A,0.9
RAB3GAP1,0.9
FAM120C,0.9
EPHA7,0.9
TSC22D1,0.9
RASGRP4,0.9
ERG,0.9
ERBB4,0.9
ERBB3,0.9
EPX,0.9
EPS8L1,0.9
EPS15L1,0.9
EPN3,0.9
EPHB4,0.9
EPHA8,0.9
RBM26,0.9
RASGRF1,0.9
RBM42,0.9
EPB41L4A,0.9
RBM46,0.9
EPB41L2,0.9
EPB41,0.9
RBM47,0.9
EP300,0.9
SCN4A,0.9
ENTPD8,0.9
RC3H2,0.9
TTBK2,0.9
RASGRP2,0.9
RAPGEF6,0.9
FAM120B,0.9
EXT1,0.9
TRO,0.9
FADS2,0.9
RAB40B,0.9
TRPC1,0.9
FAAH,0.9
RAD50,0.9
RAD54B,0.9
EYA4,0.9
EYA3,0.9
RALGAPB,0.9
EXTL1,0.9
EXOC7,0.9
ESR2,0.9
TRPM8,0.9
EXOC3L2,0.9
RALGDS,0.9
RANBP10,0.9
EXD3,0.9
RANBP17,0.9
RANBP3L,0.9
SDHA,0.9
ETV3,0.9
RAPGEF1,0.9
ESX1,0.9
RASGEF1C,0.9
PDE6A,0.9
PPP1R12C,0.9
OR5D16,0.9
ODAD1,0.9
OCSTAMP,0.9
LOXL2,0.9
NYAP1,0.9
NXPH4,0.9
NXPE3,0.9
LPCAT1,0.9
LPCAT4,0.9
LPO,0.9
STXBP5L,0.9
LRFN3,0.9
STXBP2,0.9
LRIG1,0.9
LRIT1,0.9
LRIT3,0.9
ODAD3,0.9
LONRF2,0.9
SUCLG2,0.9
OGFR,0.9
SVOP,0.9
LIG3,0.9
LILRA2,0.9
LILRA6,0.9
SV2B,0.9
SUZ12,0.9
LINC00955,0.9
SLIT1,0.9
SULF2,0.9
LMBR1,0.9
LMNA,0.9
LMOD3,0.9
SLFN14,0.9
LMX1B,0.9
SLMAP,0.9
NUTM1,0.9
NUP98,0.9
MAD1L1,0.9
LUM,0.9
LVRN,0.9
LY9,0.9
NTF4,0.9
SMC2,0.9
STK11IP,0.9
MAGEA3,0.9
NTNG2,0.9
MAGEL2,0.9
NRP2,0.9
NRIP1,0.9
NRG1,0.9
MAML1,0.9
STEAP4,0.9
STON1-GTF2A1L,0.9
LSS,0.9
NUP160,0.9
STUM,0.9
NUP155,0.9
LRPPRC,0.9
LRRC32,0.9
NUP107,0.9
SLX4,0.9
LRRC4C,0.9
LRRC66,0.9
LSP1,0.9
SMAD5,0.9
SMARCA1,0.9
LRRIQ3,0.9
LRRIQ4,0.9
NUDCD1,0.9
NTSR1,0.9
OPHN1,0.9
SYCP1,0.9
SYDE2,0.9
SLC4A5,0.9
SLC44A5,0.9
SLC45A4,0.9
SLC4A10,0.9
SLC4A3,0.9
KNL1,0.9
KPNA7,0.9
KRAS,0.9
TAS1R1,0.9
KRT10,0.9
KRT26,0.9
KRT7,0.9
OR4D6,0.9
KRT83,0.9
TAF6,0.9
KMO,0.9
TAS1R2,0.9
OR4C12,0.9
KIRREL3,0.9
OR5B3,0.9
KIFC1,0.9
TBC1D12,0.9
TBC1D10C,0.9
KIR3DL2,0.9
OR5B12,0.9
KIT,0.9
KLHL38,0.9
KL,0.9
KLF17,0.9
KLHL17,0.9
KLHL25,0.9
TAS2R38,0.9
OR52N4,0.9
TAF2,0.9
TAAR8,0.9
OPRM1,0.9
SLC9A1,0.9
SYT15,0.9
SYT14,0.9
SLC8A3,0.9
SYNPO,0.9
SLC8B1,0.9
SYNJ2,0.9
SLC9A4,0.9
SYT16,0.9
LCT,0.9
LDB2,0.9
SYNGAP1,0.9
SYNE3,0.9
SLC9A9,0.9
SLC9C2,0.9
SLC8A1,0.9
LATS1,0.9
OR2Z1,0.9
OR14J1,0.9
KSR2,0.9
OR2J1,0.9
SLC6A13,0.9
SLC6A20,0.9
SLC6A4,0.9
SLC6A5,0.9
OR13C5,0.9
LAS1L,0.9
LAMC2,0.9
LAMC3,0.9
SYTL5,0.9
OR10W1,0.9
LARP1B,0.9
LARS1,0.9
MAN2A1,0.9
MAN2A2,0.9
MAN2B2,0.9
SPINT1,0.9
SOBP,0.9
SPOCD1,0.9
MSH3,0.9
MSI2,0.9
MSL2,0.9
MST1,0.9
NEK5,0.9
SPPL3,0.9
MTAP,0.9
MTHFD1,0.9
MTHFR,0.9
MTMR6,0.9
MTMR8,0.9
MTNR1A,0.9
SPPL2A,0.9
MROH9,0.9
MTR,0.9
MPP4,0.9
NHSL1,0.9
MORN1,0.9
SNX20,0.9
MPHOSPH8,0.9
NFKB1,0.9
MPP3,0.9
MPP7,0.9
MROH7-TTC4,0.9
NFE2L3,0.9
NFE2L1,0.9
NFATC2,0.9
NEUROG3,0.9
MRE11,0.9
SPRYD3,0.9
SPG11,0.9
NDST3,0.9
NIBAN1,0.9
N4BP2,0.9
NAGLU,0.9
MYBPH,0.9
NADSYN1,0.9
NAB1,0.9
NAA25,0.9
MYH11,0.9
MYPOP,0.9
MYBPC1,0.9
MYOF,0.9
MYH9,0.9
SPATA31H1,0.9
MYOD1,0.9
MYLK3,0.9
MYO10,0.9
NALF1,0.9
SP9,0.9
NDN,0.9
MUC3A,0.9
NCOA7,0.9
NCOA2,0.9
NCL,0.9
MUC19,0.9
SOX5,0.9
MUC20,0.9
NCAPH,0.9
SP1,0.9
NCAPG2,0.9
NCAM1,0.9
NBPF3,0.9
MUS81,0.9
MUSK,0.9
MYADML2,0.9
MOCS1,0.9
MNDA,0.9
MAP10,0.9
NOLC1,0.9
MASP1,0.9
NOTCH2,0.9
MASP2,0.9
MAST3,0.9
NOP2,0.9
MATCAP2,0.9
MAZ,0.9
MARK1,0.9
MBD5,0.9
NOL8,0.9
NOL6,0.9
ST6GAL2,0.9
SNCAIP,0.9
MCF2L,0.9
MARS1,0.9
NPAS4,0.9
MCHR1,0.9
MAP3K3,0.9
NRDE2,0.9
NRDC,0.9
MAP2,0.9
NR2C2,0.9
MAP3K12,0.9
NR1D1,0.9
SMTN,0.9
NPAT,0.9
STAT3,0.9
STAT1,0.9
NPSR1,0.9
MAPK8IP1,0.9
NPHP3,0.9
NPC1,0.9
MCF2L2,0.9
SNHG28,0.9
MMRN2,0.9
MINK1,0.9
SRRM4,0.9
NISCH,0.9
MICALL2,0.9
MICU3,0.9
MIEF2,0.9
MIGA2,0.9
MIPEP,0.9
NLGN1,0.9
MKS1,0.9
SRMS,0.9
NIN,0.9
MLH3,0.9
SRGAP3,0.9
SRGAP1,0.9
NKRF,0.9
SRSF4,0.9
MCM7,0.9
MED25,0.9
MCM8,0.9
MCPH1,0.9
MCTP1,0.9
ST18,0.9
MECOM,0.9
MED15,0.9
NLRP12,0.9
MEX3B,0.9
SSH3,0.9
NLRC5,0.9
SSH1,0.9
METAP1D,0.9
METRNL,0.9
METTL25,0.9
OR5D14,0.9
KIF24,0.9
PPM1N,0.9
OR5M3,0.9
HACD2,0.9
TMCC2,0.9
TMC6,0.9
TMC3,0.9
HAUS5,0.9
SLC12A1,0.9
SLC12A6,0.9
PIDD1,0.9
PI4KB,0.9
SLC13A4,0.9
PI3,0.9
HEATR5B,0.9
HEBP2,0.9
TLR7,0.9
PHTF2,0.9
PIK3C2G,0.9
TMEM131L,0.9
PIK3C3,0.9
PLA2G4D,0.9
GRIN2C,0.9
GRIN2D,0.9
PLCZ1,0.9
GRK7,0.9
PLCB1,0.9
PLB1,0.9
GRWD1,0.9
H1-2,0.9
SKOR1,0.9
PKN1,0.9
GSTK1,0.9
TMEM163,0.9
PKMYT1,0.9
GYPB,0.9
PHTF1,0.9
HELZ,0.9
PHLPP2,0.9
PFAS,0.9
PGBD1,0.9
TKTL2,0.9
HLTF,0.9
TJP3,0.9
TJP2,0.9
TINAGL1,0.9
TIMP3,0.9
SLC17A3,0.9
HNRNPH1,0.9
HNRNPL,0.9
SLC1A6,0.9
TIAM2,0.9
PEX1,0.9
HOXA10,0.9
SLC17A6,0.9
HK3,0.9
HEPH,0.9
HGS,0.9
HERC3,0.9
TLR1,0.9
SLC16A14,0.9
PHKA2,0.9
HEYL,0.9
TLL2,0.9
HHIP,0.9
PGR,0.9
HHIPL2,0.9
HIPK1,0.9
HIPK3,0.9
PHF20,0.9
PHF14,0.9
HK2,0.9
PLD2,0.9
GRIN1,0.9
GRIK3,0.9
GGNBP2,0.9
GDF5,0.9
POLR3B,0.9
GFRA3,0.9
POLR2B,0.9
GGA3,0.9
GGCX,0.9
POLR1E,0.9
GCK,0.9
GHDC,0.9
GHSR,0.9
GIMAP1,0.9
GIMAP5,0.9
TMTC4,0.9
GIT1,0.9
TNFRSF25,0.9
POLRMT,0.9
POLD1,0.9
POU5F2,0.9
SHC3,0.9
PPFIA3,0.9
SHFL,0.9
GAREM1,0.9
GAREM2,0.9
GARIN4,0.9
GATAD1,0.9
TNK1,0.9
SHOX,0.9
SHPRH,0.9
SHROOM1,0.9
GBA2,0.9
TNK2,0.9
GBE1,0.9
GJA4,0.9
TMPRSS6,0.9
GRIK1,0.9
GPR31,0.9
GPR132,0.9
GPR146,0.9
PLPPR1,0.9
GPR161,0.9
GPR20,0.9
GPR22,0.9
GPR55,0.9
GPD2,0.9
SIRT3,0.9
PLG,0.9
PLEKHM1,0.9
PLEKHH1,0.9
GRHL2,0.9
GRID1,0.9
GPNMB,0.9
GPC1,0.9
PODXL2,0.9
GLYR1,0.9
TMPRSS15,0.9
SIGLEC12,0.9
PNPLA7,0.9
TMPRSS11A,0.9
GLP2R,0.9
GLS2,0.9
SIK3,0.9
GPATCH3,0.9
GNAZ,0.9
GOLGA2,0.9
PMFBP1,0.9
SIM1,0.9
PLXNB2,0.9
GPAA1,0.9
HOXB13,0.9
PEAR1,0.9
SLC22A12,0.9
KAZN,0.9
PACS1,0.9
SLC2A13,0.9
SLC2A5,0.9
SLC2A6,0.9
P2RY4,0.9
TBXA2R,0.9
TBX3,0.9
PACS2,0.9
P2RX1,0.9
KBTBD4,0.9
OTUD7A,0.9
OTUD4,0.9
SLC32A1,0.9
