gene,patient
ASXL3,2.3
TRRAP,2.3
CUL9,2.3
NOTCH1,2.3
DSP,2.3
ADGRB1,2.3
STAB2,2.3
ERICH3,2.3
TRIO,2.3
SORCS1,2.3
ADAMTS20,2.3
DAAM2,2.3
TRPA1,2.3
CARD10,2.3
RGS12,2.3
SEMA6A,2.3
EFCAB5,2.3
LRRK1,2.3
DYNC2H1,2.3
SRCAP,2.3
MTCL2,2.3
ABCA5,2.1
SHANK2,2.1
ITGAM,2.1
MTCL3,2.1
CACNA1S,2.1
WNT2,2.1
TNS3,2.1
CARD11,2.1
ABCA7,2.1
DROSHA,2.1
ABCA1,2.1
MYCBP2,2.1
TNN,2.1
CENPF,2.1
PCDH7,2.1
CACNA1C,2.1
MYH13,2.1
NSD1,2.1
MYH1,2.1
ASH1L,2.1
SI,2.1
PCDH10,2.1
RANBP2,2.1
COL15A1,2.1
COL14A1,2.1
IRS2,2.1
MUCL3,2.1
TSHZ3,2.1
MTCL1,2.1
WDFY3,2.1
DGKI,2.1
SBNO2,2.1
MED13,2.1
GRM8,2.1
HKDC1,2.1
MSC,2.1
GUCY2D,2.1
TLN2,2.1
MON2,2.1
SRCIN1,2.1
PIKFYVE,2.1
SPTBN4,2.1
PIK3CB,2.1
NF1,2.1
SPTB,2.1
E2F8,2.1
MED12L,2.1
GRM5,2.1
SCN10A,2.1
PDZRN4,2.1
USP28,2.1
EPRS1,2.1
APC2,2.1
GAD2,2.1
MAST2,2.1
EP400,2.1
NOD1,2.1
CHD8,2.1
GRM1,2.1
PLCL2,2.1
MDGA2,2.1
PLCH2,2.1
PER1,2.1
PLCG2,2.1
PLCG1,2.1
SCN1A,2.1
TNXB,2.1
ALDH1L1,2.1
SLC12A3,2.1
PRIM2,2.1
CSPG4,2.1
FAM83B,2.1
SLC4A2,2.1
PYHIN1,2.1
AFF2,2.1
FBXO24,2.1
PRSS48,2.1
SLCO6A1,2.1
KLHL40,2.1
ADCY5,2.1
ASXL1,2.1
OR5F1,2.1
PRRC2C,2.1
LOXL3,2.1
ADCY8,2.1
ASXL2,2.1
OTOG,2.1
ROS1,2.1
DOCK6,2.1
KCNT2,2.1
ZNF786,2.1
ATAD5,2.1
PTPRZ1,2.1
ARMC5,2.1
COL4A1,2.1
ADGRB2,2.1
LIPE,2.1
CROCC,2.1
PTPRD,2.1
SEMA5A,2.1
ADAMTSL4,2.1
CARD14,2.1
COL5A3,2.1
FCRL5,2.1
NBPF1,2.1
PTPN23,2.1
LCOR,2.1
CCDC88C,2.1
JADE2,2.1
ATP10A,2.1
LRRC4B,2.1
MVP,2.1
UNC13C,2.1
BIRC6,1.9
MCC,1.9
KIF1B,1.9
