cluster,n_cells,mean_latent_time,std_latent_time,mean_velocity_magnitude
0,7334,0.3229973433372894,0.04508563219095615,6.476267860663856
1,5865,0.5969527126419093,0.05298080026543961,4.900230626036871
2,4208,0.507694020557723,0.04944661644172853,6.611182653967233
3,4066,0.4739717416437384,0.047672410036167824,6.395677587562956
4,3018,0.35539220392024273,0.06956911184815488,8.184885459929967
5,2873,0.5852336636461674,0.06016481465536507,6.862373861029402
6,2120,0.2971715388847738,0.031163304231075495,5.902974514648448
7,2017,0.2725382426836564,0.049968175624583305,7.967174170659388
8,1980,0.4565038507167188,0.06952616138849185,7.6150122644060865
9,1594,0.332452681246552,0.04226287259163862,6.10191542835283
10,1556,0.4658028412070195,0.06795099018481074,7.127295693172648
11,1523,0.6354824938488763,0.09459963847854462,3.5999864595649025
12,1372,0.43068199097106397,0.07481777331409042,6.474939447847032
13,1183,0.4174059795632745,0.07544675396703503,7.397131434830291
14,1138,0.4313338827652651,0.0897950246116913,6.170174454659726
15,1079,0.6606767069394485,0.07509482467686744,7.076609347961335
16,815,0.39898063284701546,0.07267625987391918,6.662713240240235
17,728,0.5344526915480715,0.1120227390983277,6.271237344259512
18,691,0.3139304229836875,0.0642669312662081,6.911225691533735
19,391,0.35177341998564826,0.07155246351587628,7.922921913148286
20,302,0.4742875500111189,0.06736010107708615,6.790637875024777
21,211,0.23735013092179308,0.117024942719432,7.519866873278595
22,163,0.40823755633730674,0.0767353313833235,5.618941620183761
23,8,0.5198680386990571,0.03455292227231929,5.05737142388754
