chembl_id,name,smiles,target_gene,population_target,source,activity_nM,mw,logp,qed,sa_score,admet_score,est_emax_s,est_emax_r,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,rank
CHEMBL3986918,CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,0.782,0.0,0.0,0.376,2.92,97.5,0.002053,0.010267,database_search,82.1,79.9,97.5,100.0,80,78.7,87.1,20
CHEMBL5218615,CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,scout1,2.4,0.0,0.0,0.458,3.19,94.2,0.00181,0.009049,database_search,72.4,99.8,94.2,90.5,80,75.7,86.9,21
CHEMBL558486,CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.32,0.0,0.0,0.539,2.7,95.8,0.004495,0.006742,database_search,74.9,100.0,95.8,80.9,80,81.1,86.8,22
CHEMBL3958682,CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,0.765,0.0,0.0,0.283,3.02,95.7,0.002058,0.010291,database_search,82.3,79.9,95.7,100.0,80,77.6,86.7,23
CHEMBL3895211,CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.418,0.0,0.0,0.333,2.97,86.7,0.002189,0.010947,database_search,87.6,80.0,86.7,100.0,80,78.1,86.5,24
CHEMBL4111966,CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.935,0.0,0.0,0.391,3.27,97.8,0.002015,0.010073,database_search,80.6,79.9,97.8,100.0,80,74.8,86.5,25
CHEMBL3898563,CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.03,0.0,0.0,0.415,2.83,98.3,0.001994,0.009968,database_search,79.7,79.9,98.3,99.7,80,79.7,86.5,26
CHEMBL3984179,CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.05,0.0,0.0,0.428,2.8,98.6,0.001989,0.009947,database_search,79.6,79.9,98.6,99.5,80,80.0,86.5,27
CHEMBL5218552,CHEMBL5218552,COC(=O)[C@@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,2.2,0.0,0.0,0.334,3.64,91.7,0.001829,0.009144,database_search,73.2,99.8,91.7,91.4,80,70.7,86.5,28
CHEMBL3961688,CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.96,0.0,0.0,0.379,3.1,97.6,0.002009,0.010044,database_search,80.4,79.9,97.6,100.0,80,76.7,86.4,29
CHEMBL201297,CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,resistant,scout1,1.0,0.0,0.0,0.324,2.54,96.5,0.002,0.01,database_search,80.0,79.9,96.5,100.0,80,82.9,86.4,30
CHEMBL5219579,CHEMBL5219579,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@@H](CO)C2)n1,EZH2,resistant,scout1,3.3,0.0,0.0,0.437,3.57,100.0,0.001741,0.008704,database_search,69.6,99.7,100.0,87.0,80,71.4,86.4,31
CHEMBL5219830,CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,EZH2,resistant,scout1,3.33,0.0,0.0,0.437,3.64,100.0,0.001739,0.008694,database_search,69.6,99.7,100.0,86.9,80,70.7,86.4,32
CHEMBL563985,CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.46,0.0,0.0,0.567,2.7,100.0,0.004337,0.006506,database_search,72.3,100.0,100.0,78.1,80,81.1,86.4,33
CHEMBL3957991,CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,ATM,resistant,scout1,3.8,0.0,0.0,0.402,2.96,100.0,0.00171,0.008551,database_search,68.4,99.6,100.0,85.5,80,78.2,86.2,34
CHEMBL4110596,CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.0,0.0,0.0,0.376,3.39,97.5,0.002,0.01,database_search,80.0,79.9,97.5,100.0,80,73.4,86.2,35
CHEMBL3950905,CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,1.05,0.0,0.0,0.358,2.99,97.2,0.001989,0.009947,database_search,79.6,79.9,97.2,99.5,80,77.9,86.1,36
CHEMBL3963290,CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.12,0.0,0.0,0.365,2.79,97.3,0.001975,0.009877,database_search,79.0,79.9,97.3,98.8,80,80.1,86.0,37
CHEMBL3912673,CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.14,0.0,0.0,0.376,3.39,97.5,0.001972,0.009858,database_search,78.9,79.9,97.5,98.6,80,73.4,85.6,38
CHEMBL3890119,CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.563,0.0,0.0,0.349,3.37,87.0,0.002125,0.010624,database_search,85.0,80.0,87.0,100.0,80,73.7,85.6,39
CHEMBL426811,CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,resistant,scout1,5.0,0.0,0.0,0.851,2.58,100.0,0.001651,0.008253,database_search,66.0,99.5,100.0,82.5,80,82.4,85.2,40
CHEMBL155514,CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,other,scout1,0.1778,0.0,0.0,0.533,3.91,100.0,0.005938,0.005938,database_search,79.2,100.0,100.0,59.4,80,67.7,85.0,41
CHEMBL5220647,CHEMBL5220647,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@@H]2CO)n1,EZH2,resistant,scout1,4.6,0.0,0.0,0.437,3.64,100.0,0.001669,0.008343,database_search,66.7,99.5,100.0,83.4,80,70.7,85.0,42
CHEMBL4114060,CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.69,0.0,0.0,0.349,3.37,87.0,0.002081,0.010403,database_search,83.2,79.9,87.0,100.0,80,73.7,85.0,43
CHEMBL561907,CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,escape_route,scout1,0.61,0.0,0.0,0.502,2.83,95.0,0.004215,0.006322,database_search,70.2,99.9,95.0,75.9,80,79.7,84.4,44
CHEMBL202567,CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,1.0,0.0,0.0,0.285,2.61,85.7,0.002,0.01,database_search,80.0,79.9,85.7,100.0,80,82.1,84.2,45
CHEMBL5219443,CHEMBL5219443,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@H](CO)C2)n1,EZH2,resistant,scout1,5.5,0.0,0.0,0.437,3.57,100.0,0.00163,0.008149,database_search,65.2,99.5,100.0,81.5,80,71.4,84.2,46
CHEMBL385872,CHEMBL385872,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](O)c3ccccc3)C4)cc2)CC1,AURKA,resistant,scout1,6.0,0.0,0.0,0.538,2.99,100.0,0.001611,0.008055,database_search,64.4,99.4,100.0,80.5,80,77.9,84.2,47
CHEMBL202930,CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,CHEK1,resistant,scout1,7.0,0.0,0.0,0.637,2.5,100.0,0.001577,0.007887,database_search,63.1,99.3,100.0,78.9,80,83.3,83.8,48
