cluster,n_cells,mean_latent_time,score_Luminal,score_Epithelial,score_NE_like,score_Endothelial,score_T_cell,score_Macrophage,score_Fibroblast,score_NK_cell,assigned_type,best_score
0,7334,0.3229973433372894,0.008692391600763566,0.0014771384419598218,0.0037204409988702324,0.003381510771748023,0.37344332333424235,0.0012817016634851378,0.0193346059449141,0.6578947368421053,NK_cell,0.6578947368421053
1,5865,0.5969527126419093,0.010571184995737426,0.0027848820687695367,0.0013640238704177323,0.0018414322250639387,0.001903949985791418,0.000988917306052856,0.020699062233589086,0.0026854219948849105,Fibroblast,0.020699062233589086
2,4208,0.507694020557723,1.3481166825095057,0.07755069708491762,0.06518196632265073,0.01188212927756654,0.021467046894803547,0.004230038022813689,0.0719106463878327,0.023823669201520913,Luminal,1.3481166825095057
3,4066,0.4739717416437384,0.011958927693064437,0.004017051975733727,0.013878153327243343,0.003443187407771766,0.035251680603377605,0.014215445154943433,0.02577471716674865,0.021704377766847024,T_cell,0.035251680603377605
4,3018,0.35539220392024273,0.043364811133200794,0.03738679036889773,0.012496449872195399,0.014380384360503646,0.016291142036668874,0.006030483764082174,3.663220675944334,0.02162027833001988,Fibroblast,3.663220675944334
5,2873,0.5852336636461674,1.6245649147232857,0.1201415477433577,0.08895629257620208,0.019143752175426385,0.02877363963336814,0.005081796032022277,0.07497389488339715,0.025234946049425687,Luminal,1.6245649147232857
6,2120,0.2971715388847738,0.00884433962264151,0.0036163522012578617,0.002628032345013477,0.0025471698113207547,0.5088050314465409,0.002169811320754717,0.02650943396226415,0.031839622641509434,T_cell,0.5088050314465409
7,2017,0.2725382426836564,0.02602875557759048,0.008593620889109237,0.00764926694525108,0.056717897868120974,0.26805486696413816,0.7688646504709965,0.06207238472979673,0.05614774417451661,Macrophage,0.7688646504709965
8,1980,0.4565038507167188,0.05233585858585858,0.010606060606060607,0.007070707070707071,0.009696969696969697,0.023316498316498315,0.0038383838383838384,2.8966666666666665,0.05921717171717172,Fibroblast,2.8966666666666665
9,1594,0.332452681246552,0.00972396486825596,0.006064408197406943,0.0021509231044990144,0.0038895859473023838,0.059703053115851105,0.0075282308657465494,0.018820577164366373,0.04360100376411543,T_cell,0.059703053115851105
10,1556,0.4658028412070195,0.7553020565552699,1.3843187660668381,0.014138817480719794,0.005526992287917738,0.021743787489288773,0.010925449871465296,0.08624678663239074,0.028277634961439587,Epithelial,1.3843187660668381
11,1523,0.6354824938488763,0.005663164806303349,0.0005471656817684395,0.00018759966232060783,0.0006565988181221273,0.001094331363536879,0.0009192383453709783,0.010899540380827315,0.0014773473407747866,Fibroblast,0.010899540380827315
12,1372,0.43068199097106397,0.037080903790087466,0.004008746355685131,0.004581424406497293,1.9411078717201167,0.040937803692905735,0.010932944606413994,0.16822157434402332,0.037900874635568516,Endothelial,1.9411078717201167
13,1183,0.4174059795632745,0.07776838546069316,0.05212735981966751,0.012558869701726845,0.0076077768385460695,0.012961397576782193,0.006762468300929839,19.089940828402366,0.012256973795435333,Fibroblast,19.089940828402366
14,1138,0.4313338827652651,0.010654657293497363,0.002489748096074985,0.0022596033140848608,0.010896309314586995,0.0525776215582894,0.20966608084358523,0.028471001757469243,0.012082601054481546,Macrophage,0.20966608084358523
15,1079,0.6606767069394485,4.296570898980537,0.16311399443929564,0.05454786177677744,0.026691380908248376,0.037534754402224285,0.008897126969416125,0.22613531047265986,0.037534754402224285,Luminal,4.296570898980537
16,815,0.39898063284701546,0.015797546012269938,0.012883435582822086,0.009114811568799298,0.004417177914110429,0.05030674846625767,0.019141104294478527,0.2949693251533742,0.09815950920245399,Fibroblast,0.2949693251533742
17,728,0.5344526915480715,0.12053571428571429,0.017857142857142856,0.00804552590266876,0.039285714285714285,0.026785714285714284,0.004395604395604396,0.06813186813186813,0.017170329670329672,Luminal,0.12053571428571429
18,691,0.3139304229836875,0.014652677279305354,0.00241196333815726,0.0026876162910895183,0.03560057887120116,0.1464061746261457,0.19073806078147612,0.042547033285094064,0.06657018813314038,Macrophage,0.19073806078147612
19,391,0.35177341998564826,0.6000639386189258,0.04049445865302643,0.021921812203142127,0.14680306905370843,0.15132139812446718,0.20460358056265984,1.0782608695652174,0.08631713554987212,Fibroblast,1.0782608695652174
20,302,0.4742875500111189,1.2173013245033113,0.24834437086092714,0.08136234626300852,0.02119205298013245,0.028145695364238412,0.013245033112582781,4.460927152317881,0.06705298013245033,Fibroblast,4.460927152317881
21,211,0.23735013092179308,0.10308056872037914,0.19826224328593997,0.02234258632362898,0.23412322274881517,0.1769352290679305,0.23033175355450236,7.453080568720379,0.06872037914691943,Fibroblast,7.453080568720379
22,163,0.40823755633730674,0.23773006134969324,0.0081799591002045,0.007011393514460999,0.0049079754601227,0.130879345603272,0.001226993865030675,0.03067484662576687,0.06288343558282208,Luminal,0.23773006134969324
23,8,0.5198680386990571,0.515625,0.0,0.0,0.0,0.0625,0.075,0.0,0.0,Luminal,0.515625
