drug1,drug2,combo_hr,best_single_hr,combo_benefit,ttp_months,nadir_pct
AZD8186,GSK343,0.4953,0.6383,0.143,13.9,62.0
Tozasertib,GSK343,0.5036,0.6213,0.1177,13.7,60.0
Cytarabine,GSK343,0.5036,0.6562,0.1526,13.7,61.1
CHIR-99021,GSK343,0.506,0.6481,0.1421,13.6,60.3
CPI-637,GSK343,0.5085,0.6604,0.1519,13.6,60.1
Schweinfurthin A,GSK343,0.5147,0.6625,0.1478,13.4,59.1
GSK343,PD0325901,0.5949,0.6625,0.0676,11.6,51.1
Dacarbazine,PD0325901,0.6122,0.6885,0.0763,11.3,50.1
GSK343,Dacarbazine,0.6195,0.6625,0.043,11.1,47.9
GSK343,743380,0.6287,0.6625,0.0338,11.0,47.3
743380,Dacarbazine,0.6502,0.6863,0.0361,10.6,45.8
743380,PD0325901,0.6604,0.6863,0.0259,10.4,45.2
GSK343,Uprosertib,0.6931,0.6625,-0.0306,10.0,40.3
GSK343,Acetalax,0.7,0.6625,-0.0375,9.9,39.5
Uprosertib,Acetalax,0.7023,0.7071,0.0048,9.8,17.8
Uprosertib,743380,0.7216,0.6863,-0.0353,9.6,30.0
Acetalax,743380,0.7241,0.6863,-0.0378,9.5,30.9
Uprosertib,Dacarbazine,0.7266,0.6885,-0.0381,9.5,36.0
Acetalax,Dacarbazine,0.7292,0.6885,-0.0407,9.5,36.6
Uprosertib,PD0325901,0.7317,0.6954,-0.0363,9.4,35.2
Acetalax,PD0325901,0.7317,0.6954,-0.0363,9.4,36.0
