smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CNC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1cnc(OC)nc1)C3=CC2=O,MAP2K1,bioisostere,0.723,3.9,419.4,3.39,-10.96,0.699,0.367,1.0,10
NS(=O)(=O)C(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,r_group,0.516,4.4,516.0,3.4,-10.96,0.695,0.411,1.0,10
NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,bioisostere,0.547,3.9,458.0,3.41,-10.96,0.547,0.393,0.82,10
NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,r_group,0.558,4.0,452.0,3.41,-10.96,0.655,0.409,0.982,10
CNC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,bioisostere,0.723,3.9,419.4,3.41,-10.96,0.521,0.365,0.781,10
COC(=O)c1c(OC)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.553,4.0,436.4,3.43,-10.96,0.51,0.363,0.765,10
COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC(C)C)c24)nn1,MAP2K1,r_group,0.552,4.1,448.5,3.43,-10.96,0.528,0.322,0.792,10
CNc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC)c24)nn1,MAP2K1,bioisostere,0.573,3.9,419.4,3.44,-10.95,0.511,0.36,0.767,10
CNc1ncc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC)c24)cn1,MAP2K1,bioisostere,0.573,3.9,419.4,3.45,-10.95,0.662,0.389,0.993,10
O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccoc2)nn1CC1CCCCC1,CHEK2,bioisostere,0.55,3.9,442.9,3.45,-10.95,0.501,0.383,0.751,10
COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC(F)(F)F)nn1)C3=CC2=O,MAP2K1,r_group,0.535,4.2,474.4,3.46,-10.95,0.478,0.364,0.718,10
COC(=O)c1c(C(F)(F)F)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.535,4.2,474.4,3.46,-10.95,0.499,0.354,0.748,10
O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cc[nH]c2)nn1CC1CCCCC1,CHEK2,bioisostere,0.553,3.9,441.9,3.46,-10.95,0.503,0.387,0.754,10
NS(=O)(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,bioisostere,0.531,4.0,494.0,3.47,-10.95,0.466,0.34,0.698,10
COC(=O)c1c(C2CC2)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.554,4.1,446.5,3.52,-10.94,0.467,0.352,0.701,10
COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)SC)c24)nn1,MAP2K1,bioisostere,0.734,3.9,436.5,3.53,-10.94,0.518,0.354,0.776,10
O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccncc2)nn1CC1CCCCC1,CHEK2,bioisostere,0.552,4.0,453.9,3.56,-10.93,0.542,0.418,0.812,10
CNC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,r_group,0.524,4.1,466.0,3.56,-10.93,0.457,0.374,0.685,10
CN.Clc1cc2c(cc1Cc1cn(CC3CCCCC3)nc1-c1ccsc1)OCO2.O,CHEK2,bioisostere,0.581,3.9,464.0,3.57,-10.93,0.445,0.305,0.667,10
COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC(C)C)nn1)C3=CC2=O,MAP2K1,r_group,0.552,4.1,448.5,3.58,-10.93,0.534,0.368,0.801,10
NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,bioisostere,0.547,3.9,458.0,3.59,-10.93,0.512,0.383,0.767,10
