mutation,drug,n_mut,n_wt,mut_median,wt_median,diff,pval,direction,rank,bh_threshold,fdr_significant,bh_rank
IDH2,OTX-015,47,286,103.7,133.5,29.9,0.0028865722411152,sensitive,130,0.006063432835820896,True,130
IDH2,JQ1,54,346,122.8,147.2,24.4,0.0029569996260838,sensitive,131,0.006110074626865672,True,131
IDH2,Afatinib (BIBW-2992),65,477,156.8,169.4,12.6,0.0031191471707797,sensitive,132,0.006156716417910448,True,132
FLT3,Sunitinib,77,518,180.0,204.5,24.5,0.0031310737335146,sensitive,133,0.006203358208955225,True,133
DNMT3A,GDC-0941,106,392,129.4,149.6,20.2,0.0032828134150988,sensitive,134,0.00625,True,134
DNMT3A,Entospletinib (GS-9973),82,275,170.4,188.3,17.9,0.0033790887632272,sensitive,135,0.006296641791044776,True,135
FLT3,LY-333531,60,430,205.8,214.6,8.8,0.0035183797607277,sensitive,136,0.006343283582089553,True,136
IDH2,Doramapimod (BIRB 796),64,473,150.8,176.9,26.2,0.0035318156561089,sensitive,137,0.006389925373134329,True,137
NPM1,PHA-665752,133,400,213.3,221.4,8.1,0.0035540101526062,sensitive,138,0.006436567164179105,True,138
TP53,Roscovitine (CYC-202),46,498,272.2,263.0,-9.2,0.0036726383232426,resistant,139,0.006483208955223881,True,139
IDH2,SB-431542,63,478,242.8,255.3,12.5,0.0040893930782042,sensitive,140,0.0065298507462686565,True,140
NPM1,Canertinib (CI-1033),134,403,211.9,222.7,10.9,0.0041145439368051,sensitive,141,0.006576492537313433,True,141
IDH2,A-674563,66,477,114.3,137.5,23.2,0.0042722564843309,sensitive,142,0.00662313432835821,True,142
NRAS,Go6976,8,106,232.0,191.1,-40.9,0.0042991670247254,resistant,143,0.006669776119402985,True,143
DNMT3A,VX-745,113,426,190.4,204.3,14.0,0.0043175366579895,sensitive,144,0.006716417910447761,True,144
TP53,MGCD-265,46,483,227.7,207.5,-20.1,0.0043819089453538,resistant,145,0.006763059701492537,True,145
IDH1,Cediranib (AZD2171),40,495,273.0,254.8,-18.2,0.0044505686157451,resistant,146,0.006809701492537314,True,146
NPM1,Gilteritinib,97,220,120.3,150.4,30.0,0.0044773802128705,sensitive,147,0.00685634328358209,True,147
NPM1,JNJ-28312141,94,291,125.6,147.6,22.0,0.0047031747974643,sensitive,148,0.006902985074626866,True,148
IDH2,Saracatinib (AZD0530),62,468,201.3,218.8,17.5,0.0047093003936404,sensitive,149,0.0069496268656716416,True,149
NPM1,AGI-5198,92,249,240.3,251.2,10.9,0.0047575462300958,sensitive,150,0.006996268656716418,True,150
DNMT3A,PRT062607,111,416,185.1,200.1,15.0,0.0048139838902779,sensitive,151,0.007042910447761195,True,151
