chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r
CHEMBL3702096,CHEMBL3702096,OCCN1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,CDK6,IC50,4.9,458.57,3.35,0,False,False,1,CDK6,sensitive,0.008275,0.001241
CHEMBL395018,CHEMBL395018,O=C(C(=O)c1cccc(F)c1F)c1cccc(F)c1F,FOLH1,Ki,4.98,282.19,3.31,0,False,False,1,FOLH1,other,0.004128,0.004128
CHEMBL3216643,CHEMBL3216643,COc1ccc(O)c(C(=O)c2ccc(C(=O)O[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,AKT1,IC50,5.0,580.44,2.87,1,False,False,1,AKT1,escape_route,0.003301,0.004952
CHEMBL426811,CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,IC50,5.0,373.8,3.2,0,False,False,1,CHEK1,resistant,0.001651,0.008253
CHEMBL200783,CHEMBL200783,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,BRAF,Kd,5.0,340.39,4.61,0,False,False,1,BRAF,escape_route,0.003301,0.004952
CHEMBL192928,CHEMBL192928,CC(C)(C)c1ccc(C(=O)Nc2[nH]nc3c2CN(C(=O)Cc2ccsc2)C3)cc1,AURKA,IC50,5.0,408.53,4.11,0,False,False,1,AURKA,resistant,0.001651,0.008253
CHEMBL373013,CHEMBL373013,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCNCCO,AURKA,IC50,5.0,526.59,3.51,1,False,False,1,AURKA,resistant,0.001651,0.008253
CHEMBL3698659,CHEMBL3698659,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1,CDK6,IC50,5.1,440.56,3.89,0,False,False,1,CDK6,sensitive,0.008231,0.001235
CHEMBL153080,CHEMBL153080,CCCCCCNCC(=O)C(F)(F)F,FOLH1,IC50,5.495,211.23,2.29,0,False,False,1,FOLH1,other,0.004075,0.004075
CHEMBL5219443,CHEMBL5219443,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@H](CO)C2)n1,EZH2,IC50,5.5,494.93,2.63,0,False,False,1,EZH2,resistant,0.00163,0.008149
CHEMBL362996,CHEMBL362996,O=C(C(=O)c1ccc(C(=O)C(=O)c2ccccc2)cc1)c1ccccc1,FOLH1,Ki,5.6,342.35,3.82,0,False,False,1,FOLH1,other,0.004065,0.004065
CHEMBL3641995,CHEMBL3641995,C[C@H](O)CNC1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,CDK6,IC50,5.7,487.61,3.57,0,False,False,1,CDK6,sensitive,0.00811,0.001217
CHEMBL200258,CHEMBL200258,Nc1nccc(-c2[nH]c(-c3ccccc3)nc2-c2ccc(Cl)c(O)c2)n1,BRAF,Kd,5.7,363.81,4.14,0,False,False,1,BRAF,escape_route,0.003244,0.004866
CHEMBL445813,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,CDK4,Kd,5.8,0.0,0.0,0,False,False,2,CDK4;ATR,sensitive,0.008091,0.001214
CHEMBL269553,CHEMBL269553,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC([C@H](C)C[C@@H]2CC[C@@H](OC(=O)N(C)OC)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,MTOR,IC50,5.8,1001.26,0.0,1,False,False,1,MTOR,escape_route,0.003237,0.004855
CHEMBL334357,CHEMBL334357,CN(C)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,Ki,5.8,280.33,2.39,0,False,False,1,PARP1,resistant,0.001618,0.008091
CHEMBL3971812,CHEMBL3971812,OC1CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,CDK6,IC50,5.9,444.54,3.0,0,False,False,1,CDK6,sensitive,0.008073,0.001211
CHEMBL146858,CHEMBL146858,CC1(C)NC(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C1=O,AR,IC50,6.0,297.24,2.41,0,False,False,1,AR,sensitive,0.008055,0.001208
CHEMBL27769,CHEMBL27769,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,AR,EC50,6.0,0.0,0.0,0,False,False,1,AR,sensitive,0.008055,0.001208
CHEMBL1083152,CHEMBL1083152,CNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,CDK4,Ki,6.0,387.47,3.72,0,False,False,1,CDK4,sensitive,0.008055,0.001208
CHEMBL592445,CHEMBL592445,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,PIK3CB,IC50,6.0,0.0,0.0,0,False,False,1,PIK3CB,escape_route,0.003222,0.004833
CHEMBL2140173,CHEMBL2140173,C[C@@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@H](C)O1,ATM,IC50,6.0,547.68,4.25,1,False,False,1,ATM,resistant,0.001611,0.008055
CHEMBL200889,CHEMBL200889,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,BRAF,IC50,6.0,342.83,3.73,0,False,False,1,BRAF,escape_route,0.003222,0.004833
CHEMBL381250,CHEMBL381250,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl,BRAF,IC50,6.0,348.79,4.56,0,False,False,1,BRAF,escape_route,0.003222,0.004833
CHEMBL200412,CHEMBL200412,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1Cl,BRAF,Kd,6.0,374.83,5.27,1,False,False,1,BRAF,escape_route,0.003222,0.004833
CHEMBL359106,CHEMBL359106,NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1,MAPK1,IC50,6.0,324.14,0.07,0,False,False,1,MAPK1,sensitive,0.008055,0.001208
CHEMBL220054,CHEMBL220054,O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,MAPK1,Ki,6.0,459.31,4.98,0,False,False,1,MAPK1,sensitive,0.008055,0.001208
CHEMBL201655,CHEMBL201655,CCCCc1cnc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)s1,AURKA,IC50,6.0,457.6,4.28,0,False,False,1,AURKA,resistant,0.001611,0.008055
CHEMBL385872,CHEMBL385872,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](O)c3ccccc3)C4)cc2)CC1,AURKA,IC50,6.0,460.54,1.99,0,False,False,1,AURKA,resistant,0.001611,0.008055
CHEMBL3765783,CHEMBL3765783,C[C@@H]1CN(CC(=O)Nc2ccc3c(c2)Sc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@H](C)O1,ATM,IC50,6.3,565.72,4.81,1,False,False,1,ATM,resistant,0.0016,0.008002
CHEMBL314357,CHEMBL314357,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccnc2)nn1CC1CCCCC1,CHEK2,IC50,6.3,453.93,5.2,1,False,False,1,CHEK2,resistant,0.0016,0.008002
CHEMBL428690,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CDK4,Kd,6.4,0.0,0.0,0,False,False,3,CDK4;CDK6;ATR,sensitive,0.007985,0.001198
CHEMBL3702047,CHEMBL3702047,CCN1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,CDK6,IC50,6.4,442.57,4.38,0,False,False,1,CDK6,sensitive,0.007985,0.001198
CHEMBL3698642,CHEMBL3698642,c1cc2c3cnc(Nc4ccc(N5CCNCC5)nn4)nc3n(C3CCCC3)c2cn1,CDK6,IC50,6.6,415.51,3.04,0,False,False,1,CDK6,sensitive,0.007951,0.001193
CHEMBL5220895,CHEMBL5220895,Cn1cc(Cc2ccccc2OCCN2CC3CC(C2)O3)c(-c2cc(Cl)nc(N)n2)n1,EZH2,IC50,6.7,440.94,2.56,0,False,False,1,EZH2,resistant,0.001587,0.007935
CHEMBL440542,CHEMBL440542,CCCCCCSCC(=O)C(F)(F)F,FOLH1,IC50,6.918,228.28,3.43,0,False,False,1,FOLH1,other,0.00395,0.00395
CHEMBL2113261,CHEMBL2113261,CC[C@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@H]1C,AR,EC50,7.0,310.32,4.51,0,False,False,1,AR,sensitive,0.007887,0.001183
CHEMBL418198,CHEMBL418198,CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C,AR,EC50,7.0,310.32,4.51,0,False,False,1,AR,sensitive,0.007887,0.001183
CHEMBL3702158,CHEMBL3702158,C1=C(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CCNC1,CDK6,IC50,7.0,411.51,4.61,0,False,False,1,CDK6,sensitive,0.007887,0.001183
CHEMBL589258,CHEMBL589258,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21,PIK3CB,IC50,7.0,570.66,2.78,1,False,False,1,PIK3CB,escape_route,0.003155,0.004732
CHEMBL561844,CHEMBL561844,CC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,IC50,7.0,512.62,3.52,1,False,False,1,MTOR,escape_route,0.003155,0.004732
CHEMBL1879463,CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,ATM,IC50,7.0,0.0,0.0,0,False,False,1,ATM,resistant,0.001577,0.007887
CHEMBL192161,CHEMBL192161,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,CHEK1,IC50,7.0,373.8,3.06,0,False,False,1,CHEK1,resistant,0.001577,0.007887
CHEMBL202930,CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,CHEK1,IC50,7.0,332.36,3.89,0,False,False,1,CHEK1,resistant,0.001577,0.007887
CHEMBL207994,CHEMBL207994,COc1cc(OC)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,IC50,7.0,333.74,2.66,0,False,False,1,CHEK1,resistant,0.001577,0.007887
CHEMBL206460,CHEMBL206460,COc1cc(NC(=O)Cc2ccc(S(C)(=O)=O)cc2)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,7.0,514.95,3.24,1,False,False,1,CHEK1,resistant,0.001577,0.007887
CHEMBL220897,CHEMBL220897,O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,MAPK1,Ki,7.0,475.76,5.5,1,False,False,1,MAPK1,sensitive,0.007887,0.001183
CHEMBL424953,CHEMBL424953,CCC(C(=O)NC(CC(=O)O)C(=O)CN1CCCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,7.3,532.6,2.83,1,False,False,1,CD274,immune,0.003921,0.003921
CHEMBL210540,CHEMBL210540,Cc1cc(-c2cnc(Nc3cnc(CN4CCN(C)CC4)cn3)s2)nc(OC2CCCCC2)n1,CDK6,IC50,7.8,480.64,3.9,0,False,False,1,CDK6,sensitive,0.00777,0.001165
CHEMBL393525,CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,PIK3CA,IC50,7.8,452.29,2.97,0,False,False,2,PIK3CA;PIK3CB,escape_route,0.003108,0.004662
CHEMBL5220347,CHEMBL5220347,Cn1cc(Cc2ccccc2OCCN2CC3(COC3)C2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,IC50,7.8,440.94,2.41,0,False,False,1,EZH2,resistant,0.001554,0.00777
CHEMBL191847,CHEMBL191847,Cc1ccc(C(=O)C(=O)c2ccccc2)cc1[N+](=O)[O-],FOLH1,Ki,7.9,269.26,2.97,0,False,False,1,FOLH1,other,0.003878,0.003878
CHEMBL3702123,CHEMBL3702123,O=C(c1ccc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)nc1)N1CCNCC1,CDK6,IC50,8.0,442.53,3.28,0,False,False,1,CDK6,sensitive,0.007742,0.001161
CHEMBL425904,CHEMBL425904,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,8.0,374.83,2.97,0,False,False,1,CHEK1,resistant,0.001548,0.007742
CHEMBL344741,CHEMBL344741,O=C1NCCc2c(-c3ccc[nH]3)[nH]c3cccc1c23,PARP1,Ki,8.0,251.29,2.45,0,False,False,1,PARP1,resistant,0.001548,0.007742
CHEMBL423573,CHEMBL423573,O=C1NCCc2c(-c3ccccc3Cl)[nH]c3cccc1c23,PARP1,Ki,8.0,296.76,3.77,0,False,False,1,PARP1,resistant,0.001548,0.007742
CHEMBL200320,CHEMBL200320,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1,BRAF,IC50,8.0,376.85,4.62,0,False,False,1,BRAF,escape_route,0.003097,0.004645
CHEMBL304624,CHEMBL304624,Oc1cccc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)c1,BRAF,Kd,8.0,313.36,4.51,0,False,False,1,BRAF,escape_route,0.003097,0.004645
CHEMBL172900,CHEMBL172900,CCOC(=O)C1CCN(CC(=O)C(CC(=O)O)NC(=O)C(CC)n2cccc(NC(=O)c3ccc4ccccc4c3)c2=O)CC1,CD274,Ki,8.0,618.69,3.01,1,False,False,1,CD274,immune,0.003871,0.003871
CHEMBL133855,CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,Ki,8.1,309.33,2.51,0,False,False,1,PARP1,resistant,0.001546,0.007729
CHEMBL103,CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,AR,Ki,8.5,0.0,0.0,0,False,False,1,AR,sensitive,0.007676,0.001151
