chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r
CHEMBL371029,CHEMBL371029,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)N[C@H](CCc2ccccc2)C(=O)NCC(=O)N(C)CC(=O)O[C@H]1C,MTOR,IC50,9.6,672.78,0.48,1,False,False,1,MTOR,escape_route,0.003018,0.004527
CHEMBL550286,CHEMBL550286,Oc1cccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)c1,MTOR,IC50,9.6,471.57,3.27,0,False,False,1,MTOR,escape_route,0.003018,0.004527
CHEMBL203624,CHEMBL203624,N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,9.7,369.47,4.11,0,False,False,1,AKT1,escape_route,0.003013,0.00452
CHEMBL161770,CHEMBL161770,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)cn1)C3=CC2=O,MAP2K1,IC50,9.7,419.44,2.41,0,False,False,1,MAP2K1,sensitive,0.007533,0.00113
CHEMBL312979,CHEMBL312979,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccco2)nn1CC1CCCCC1,CHEK2,IC50,9.8,442.9,5.39,1,False,False,1,CHEK2,resistant,0.001504,0.007522
CHEMBL1276308,CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,AR,IC50,10.0,0.0,0.0,0,False,False,1,AR,sensitive,0.0075,0.001125
CHEMBL436344,CHEMBL436344,CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C,AR,EC50,10.0,296.29,4.12,0,False,False,1,AR,sensitive,0.0075,0.001125
CHEMBL428496,WORTMANNIN,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,PIK3CB,IC50,10.0,428.44,2.54,0,False,False,1,PIK3CB,escape_route,0.003,0.0045
CHEMBL525042,CHEMBL525042,CO[C@H]1[C@@H](O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](c2c[nH]c3c(C)cccc23)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)C[C@H](O)[C@H](C)/C=C(\C)[C@H]1O,MTOR,IC50,10.0,1017.36,0.0,1,False,False,1,MTOR,escape_route,0.003,0.0045
CHEMBL193117,CHEMBL193117,CN1CCC(Oc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)CC1,CHEK1,IC50,10.0,386.84,3.12,0,False,False,1,CHEK1,resistant,0.0015,0.0075
CHEMBL381028,CHEMBL381028,COc1cc(O)ccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc[nH]c1,CHEK1,IC50,10.0,332.36,3.89,0,False,False,1,CHEK1,resistant,0.0015,0.0075
CHEMBL205449,CHEMBL205449,COc1cc(CN2CCCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,10.0,366.43,2.99,0,False,False,1,CHEK1,resistant,0.0015,0.0075
CHEMBL206812,CHEMBL206812,CN(C)CCOc1cc(N2CCCC2)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,IC50,10.0,429.91,3.19,0,False,False,1,CHEK1,resistant,0.0015,0.0075
CHEMBL383970,CHEMBL383970,CN1C(=O)C[C@H](c2ccccc2F)[C@@H]1[C@H](O)c1ccc(-c2ccccc2)s1,KRAS,IC50,10.0,381.47,4.6,0,False,False,1,KRAS,escape_route,0.003,0.0045
CHEMBL373011,CHEMBL373011,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,BRAF,IC50,10.0,347.81,5.16,1,False,False,1,BRAF,escape_route,0.003,0.0045
CHEMBL26719,CHEMBL26719,O=C(O)C[C@H](NC(=O)C(c1ccccc1)n1cccc(NC(=O)c2cccc3ccccc23)c1=O)C(=O)COc1ccccc1,CD274,IC50,10.0,603.63,4.45,1,False,False,1,CD274,immune,0.00375,0.00375
CHEMBL114791,CHEMBL114791,O=C[C@H](CC(=O)O)NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)c1cccc2ccccc12)CC3,CD274,IC50,10.0,499.52,2.0,0,False,False,1,CD274,immune,0.00375,0.00375
CHEMBL192474,CHEMBL192474,COc1ccc(C(=O)C(=O)c2ccccc2)cc1,FOLH1,Ki,10.3,240.26,2.76,0,False,False,1,FOLH1,other,0.003734,0.003734
CHEMBL1083151,CHEMBL1083151,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,CDK4,Ki,11.0,372.45,3.99,0,False,False,1,CDK4,sensitive,0.007397,0.001109
CHEMBL1086923,CHEMBL1086923,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,PIK3CB,IC50,11.0,489.62,1.98,0,False,False,1,PIK3CB,escape_route,0.002959,0.004438
CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,ATR,Kd,11.0,0.0,0.0,0,False,False,1,ATR,resistant,0.001479,0.007397
CHEMBL315622,CHEMBL315622,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1Cc1cccc(Cl)c1,CHEK2,IC50,11.0,481.33,5.92,1,False,False,1,CHEK2,resistant,0.001479,0.007397
CHEMBL200637,CHEMBL200637,C/C(=N\O)c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,BRAF,Kd,11.0,354.41,5.0,0,False,False,1,BRAF,escape_route,0.002959,0.004438
CHEMBL360089,LEINAMYCIN,C/C1=C\[C@@H](O)C(=O)/C=C/C=C\c2csc(n2)[C@@H](C)NC(=O)C[C@@]2(CC1)[S+]([O-])SC(=O)[C@]2(C)O,MAP2K1,IC50,11.0,510.66,2.38,1,False,False,1,MAP2K1,sensitive,0.007397,0.001109
CHEMBL410802,CHEMBL410802,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C,BCL2,Ki,11.0,2437.73,0.0,1,False,False,2,BCL2;MCL1,apoptosis,0.002219,0.005178
CHEMBL2371929,CHEMBL2371929,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCSC)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)CC)[C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,BCL2,IC50,11.0,3269.7,0.0,1,False,False,1,BCL2,apoptosis,0.002219,0.005178
CHEMBL172196,CHEMBL172196,CCC(C(=O)NC(CC(=O)O)C(=O)CN1CCSCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,11.25,564.66,2.78,1,False,False,1,CD274,immune,0.003686,0.003686
CHEMBL369589,CHEMBL369589,CCC(C(=O)NC(CC(=O)O)C(=O)CN1CCC(C(N)=O)CC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,11.6,589.65,1.93,1,False,False,1,CD274,immune,0.003669,0.003669
CHEMBL4240212,CHEMBL4240212,O=C1CCCN1c1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1,MDM2,EC50,12.0,356.45,2.95,0,False,False,1,MDM2,sensitive,0.007302,0.001095
CHEMBL215803,CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,CDK6,IC50,12.0,403.44,2.91,0,False,False,1,CDK6,sensitive,0.007302,0.001095
CHEMBL3702209,CHEMBL3702209,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccccc5n(C5CCCC5)c4n3)nc2)CC1,CDK6,IC50,12.0,455.61,5.37,1,False,False,1,CDK6,sensitive,0.007302,0.001095
CHEMBL1084926,CHEMBL1084926,CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,PIK3CB,IC50,12.0,372.45,1.79,0,False,False,1,PIK3CB,escape_route,0.002921,0.004381
CHEMBL202635,CHEMBL202635,COc1cc(CN2CCCCC2)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,12.0,400.87,3.64,0,False,False,1,CHEK1,resistant,0.00146,0.007302
CHEMBL107764,CHEMBL107764,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,PARP1,IC50,12.0,450.52,1.78,0,False,False,1,PARP1,resistant,0.00146,0.007302
CHEMBL108919,CHEMBL108919,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,PARP1,IC50,12.0,442.54,1.32,0,False,False,1,PARP1,resistant,0.00146,0.007302
CHEMBL200172,CHEMBL200172,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,BRAF,IC50,12.0,327.82,4.8,0,False,False,1,BRAF,escape_route,0.002921,0.004381
CHEMBL410802,CHEMBL410802,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C,MCL1,Ki,12.0,2437.73,0.0,1,False,False,1,MCL1,apoptosis,0.002191,0.005111
CHEMBL5220723,CHEMBL5220723,Cn1cc(Cc2ccccc2OCCN2CCOCC2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,IC50,12.3,428.92,2.41,0,False,False,1,EZH2,resistant,0.001455,0.007275
CHEMBL3698726,CHEMBL3698726,c1cc2c3cnc(Nc4ccc(NC5CCNCC5)nn4)nc3n(C3CCCC3)c2cn1,CDK6,IC50,12.4,429.53,3.79,0,False,False,1,CDK6,sensitive,0.007266,0.00109
CHEMBL281945,CHEMBL281945,C[C@H]1CNc2cc3nc(O)cc(C(F)(F)F)c3cc2C1CCC(F)(F)F,AR,EC50,13.0,378.32,5.45,1,False,False,1,AR,sensitive,0.007215,0.001082
CHEMBL410643,CHEMBL410643,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,PIK3CB,IC50,13.0,546.66,2.14,1,False,False,1,PIK3CB,escape_route,0.002886,0.004329
CHEMBL222102,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM,IC50,13.0,395.51,4.76,0,False,False,1,ATM,resistant,0.001443,0.007215
CHEMBL207778,CHEMBL207778,COc1cc(CN2CCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,13.0,352.4,2.6,0,False,False,1,CHEK1,resistant,0.001443,0.007215
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,Kd,13.0,466.54,4.35,0,False,False,1,PARP2,resistant,0.001443,0.007215
CHEMBL200863,CHEMBL200863,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,BRAF,IC50,13.0,496.4,6.25,1,False,False,1,BRAF,escape_route,0.002886,0.004329
CHEMBL371952,CHEMBL371952,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl,BRAF,IC50,13.0,337.77,4.76,0,False,False,1,BRAF,escape_route,0.002886,0.004329
CHEMBL402548,CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,AURKA,IC50,13.0,0.0,0.0,0,False,False,1,AURKA,resistant,0.001443,0.007215
CHEMBL3642038,CHEMBL3642038,CN(C)C1CN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CCC1O,CDK6,IC50,13.3,473.59,3.13,0,False,False,1,CDK6,sensitive,0.00719,0.001079
CHEMBL242931,CHEMBL242931,O=C(C(=O)c1ccc(F)c(F)c1F)c1ccc(F)c(F)c1F,FOLH1,Ki,13.6,318.17,3.59,0,False,False,1,FOLH1,other,0.003583,0.003583
CHEMBL1085160,CHEMBL1085160,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(CO)c4)nc(N4CCOCC4)c3s2)CC1,PIK3CB,IC50,14.0,503.65,1.76,1,False,False,1,PIK3CB,escape_route,0.002854,0.004281
CHEMBL1086924,CHEMBL1086924,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccnc4)nc(N4CCOCC4)c3s2)CC1,PIK3CB,IC50,14.0,474.61,1.67,0,False,False,1,PIK3CB,escape_route,0.002854,0.004281
CHEMBL383541,CHEMBL383541,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,14.0,370.46,4.08,0,False,False,1,AKT1,escape_route,0.002854,0.004281
CHEMBL207995,CHEMBL207995,COc1cc(C=O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,14.0,331.72,2.47,0,False,False,1,CHEK1,resistant,0.001427,0.007135
CHEMBL381447,CHEMBL381447,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,BRAF,IC50,14.0,420.92,3.32,0,False,False,1,BRAF,escape_route,0.002854,0.004281
CHEMBL370353,CHEMBL370353,Oc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccncn2)ccc1Cl,BRAF,Kd,14.0,348.79,4.56,0,False,False,1,BRAF,escape_route,0.002854,0.004281
CHEMBL375544,CHEMBL375544,O=C(NC(CO)c1ccc(Cl)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,MAPK1,Ki,14.0,441.32,4.84,0,False,False,1,MAPK1,sensitive,0.007135,0.00107
CHEMBL189886,BENZIL,O=C(C(=O)c1ccccc1)c1ccccc1,FOLH1,Ki,14.7,210.23,2.75,0,False,False,1,FOLH1,other,0.003541,0.003541
CHEMBL315936,CHEMBL315936,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCC(C(=O)O)C1,CHEK2,IC50,14.8,496.95,5.11,1,False,False,1,CHEK2,resistant,0.001415,0.007074
CHEMBL283449,CHEMBL283449,CC1CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR,EC50,15.0,282.27,3.88,0,False,False,1,AR,sensitive,0.00706,0.001059
CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,CDK4,Kd,15.0,0.0,0.0,0,False,False,2,CDK4;ATR,sensitive,0.00706,0.001059
CHEMBL208728,CHEMBL208728,N#Cc1cnc(NC(=O)Nc2cc(Cl)c(OCC3CCCO3)cc2N2CCCC2)cn1,CHEK1,IC50,15.0,442.91,3.8,0,False,False,1,CHEK1,resistant,0.001412,0.00706
CHEMBL321638,CHEMBL321638,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,PARP1,IC50,15.0,479.56,2.39,0,False,False,1,PARP1,resistant,0.001412,0.00706
CHEMBL322133,CHEMBL322133,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,PARP1,IC50,15.0,452.33,1.48,0,False,False,1,PARP1,resistant,0.001412,0.00706
CHEMBL321703,CHEMBL321703,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccncc2)cc1,PARP1,IC50,15.0,450.52,1.78,0,False,False,1,PARP1,resistant,0.001412,0.00706
CHEMBL571722,CHEMBL571722,Cc1cnc(Nc2cccc3c2OCCO3)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,MAPK1,Ki,15.0,505.96,4.41,1,False,False,1,MAPK1,sensitive,0.00706,0.001059
CHEMBL244378,CHEMBL244378,O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,CDK4,Ki,15.85,346.35,3.54,0,False,False,1,CDK4,sensitive,0.007,0.00105
CHEMBL189963,CHEMBL189963,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,CDK6,IC50,16.0,0.0,0.0,0,False,False,1,CDK6,sensitive,0.00699,0.001048
CHEMBL3702070,CHEMBL3702070,CCC(CC)n1c2cnccc2c2cnc(Nc3ccc(N4CCC(N(C)C)CC4)nn3)nc21,CDK6,IC50,16.0,459.6,4.4,0,False,False,1,CDK6,sensitive,0.00699,0.001048
CHEMBL3216006,CHEMBL3216006,Cl.Cl.c1cc(OCCN2CCOCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,IC50,16.0,534.44,2.99,1,False,False,1,PIK3CA,escape_route,0.002796,0.004194
CHEMBL541643,CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CB,IC50,16.0,349.84,2.9,0,False,False,1,PIK3CB,escape_route,0.002796,0.004194
CHEMBL445813,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,ATR,Kd,16.0,0.0,0.0,0,False,False,1,ATR,resistant,0.001398,0.00699
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AURKA,Kd,16.0,466.54,4.35,0,False,False,1,AURKA,resistant,0.001398,0.00699
CHEMBL5219922,CHEMBL5219922,Cn1cc(Cc2ccccc2OCCN2CCNC(=O)C2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,IC50,16.9,441.92,1.51,0,False,False,1,EZH2,resistant,0.001386,0.00693
CHEMBL3702141,CHEMBL3702141,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)cc3n(C3CCSC3)c2cn1,CDK6,IC50,17.0,431.57,3.81,0,False,False,1,CDK6,sensitive,0.006924,0.001039
CHEMBL574738,CHEMBL574738,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ATR,Kd,17.0,0.0,0.0,0,False,False,1,ATR,resistant,0.001385,0.006924
CHEMBL200164,CHEMBL200164,O/N=C1/CCCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,Kd,17.0,380.45,5.32,1,False,False,1,BRAF,escape_route,0.00277,0.004154
CHEMBL204318,CHEMBL204318,CCCCC(=O)Nc1ncc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cn1,AURKA,IC50,17.0,495.58,3.4,0,False,False,1,AURKA,resistant,0.001385,0.006924
CHEMBL4248974,CHEMBL4248974,CN1CCN(S(=O)(=O)c2ccc(N3CCCC3=O)cc2)c2ccccc21,MDM2,EC50,18.0,371.46,2.46,0,False,False,1,MDM2,sensitive,0.006862,0.001029
CHEMBL3642007,CHEMBL3642007,O[C@@H]1CCCN(C2CCN(c3ccc(Nc4ncc5c6ccncc6n(C6CCCC6)c5n4)nn3)CC2)C1,CDK6,IC50,18.0,513.65,4.05,1,False,False,1,CDK6,sensitive,0.006862,0.001029
CHEMBL199299,CHEMBL199299,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ncc[nH]2)ccc1O,CHEK1,IC50,18.0,333.35,3.28,0,False,False,1,CHEK1,resistant,0.001372,0.006862
CHEMBL122187,CHEMBL122187,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1NC(=O)[C@H](CO)NC(C)=O,MAP2K1,IC50,18.0,497.4,1.63,0,False,False,1,MAP2K1,sensitive,0.006862,0.001029
CHEMBL192180,CHEMBL192180,O=C(C(=O)c1ccc(Cl)cc1)c1ccccc1,FOLH1,Ki,18.2,244.68,3.41,0,False,False,1,FOLH1,other,0.003425,0.003425
CHEMBL503885,CHEMBL503885,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](c3cccc4c(C)c[nH]c34)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)CC[C@H]1O,MTOR,EC50,18.4,1013.32,0.0,1,False,False,1,MTOR,escape_route,0.002735,0.004103
CHEMBL193228,CHEMBL193228,O=C(C(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,FOLH1,Ki,18.6,368.02,4.28,0,False,False,1,FOLH1,other,0.003413,0.003413
CHEMBL280865,CHEMBL280865,CCCC1CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR,EC50,19.0,310.32,4.66,0,False,False,1,AR,sensitive,0.006803,0.00102
CHEMBL3641990,CHEMBL3641990,CNC1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCC5)c4n3)nn2)CC1,CDK6,IC50,19.0,429.53,3.43,0,False,False,1,CDK6,sensitive,0.006803,0.00102
CHEMBL203384,CHEMBL203384,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,19.0,403.92,4.76,0,False,False,1,AKT1,escape_route,0.002721,0.004082
CHEMBL27297,CHEMBL27297,CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR,IC50,20.0,310.32,3.87,0,False,False,1,AR,sensitive,0.006747,0.001012
CHEMBL108702,CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,PARP1,IC50,20.0,464.55,1.96,0,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL108341,CHEMBL108341,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,PARP1,IC50,20.0,449.53,2.38,0,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL108623,CHEMBL108623,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,PARP1,IC50,20.0,526.54,0.59,1,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL108339,CHEMBL108339,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,PARP1,IC50,20.0,487.58,0.19,0,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL108239,CHEMBL108239,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,PARP1,IC50,20.0,459.53,-1.03,0,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL107601,CHEMBL107601,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,PARP1,IC50,20.0,459.53,-1.03,0,False,False,1,PARP1,resistant,0.001349,0.006747
CHEMBL3702217,CHEMBL3702217,CC[C@@H](C)n1c2cnccc2c2cnc(Nc3ccc(N4CCN[C@@H](C)C4)nn3)nc21,CDK6,IC50,21.0,417.52,3.28,0,False,False,1,CDK6,sensitive,0.006694,0.001004
CHEMBL3698670,CHEMBL3698670,c1cnc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cn3)nc1n2C1CCCC1,CDK6,IC50,21.0,414.52,3.64,0,False,False,1,CDK6,sensitive,0.006694,0.001004
CHEMBL5219530,CHEMBL5219530,COC(=O)c1ccccc1Cc1cn(C)nc1-c1cc(Cl)nc(N)n1,EZH2,IC50,21.0,357.8,2.49,0,False,False,1,EZH2,resistant,0.001339,0.006694
CHEMBL192241,CHEMBL192241,O=C(C(=O)c1ccc(CBr)cc1)c1ccccc1,FOLH1,Ki,21.3,303.15,3.65,0,False,False,1,FOLH1,other,0.00334,0.00334
CHEMBL282204,CHEMBL282204,CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@H]1C,AR,EC50,22.0,296.29,4.12,0,False,False,1,AR,sensitive,0.006644,0.000997
CHEMBL564099,CHEMBL564099,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C)CC4)c3n2)cc1,MTOR,IC50,22.0,450.55,2.35,0,False,False,1,MTOR,escape_route,0.002658,0.003986
CHEMBL427196,CHEMBL427196,OCc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1O,BRAF,Kd,22.0,343.39,4.0,0,False,False,1,BRAF,escape_route,0.002658,0.003986
CHEMBL219790,CHEMBL219790,O=C(NC(CO)c1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,MAPK1,Ki,22.0,442.85,4.47,0,False,False,1,MAPK1,sensitive,0.006644,0.000997
